genesymbols	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
STXBP3	32.0835023980061	57.9561049664355	67.125714163917	71.6322281606824	118.513647454736	145.71241722226	66.2984186159946	91.4582081836078	47.9686483481042	202.99291381694	158.202876873674	69.9730901201083	42.0998913886752	96.4182285457379	96.4316161578992	81.2400751578371	1	73.41025717796	73.0817283984609	50.6089562453276	83.8185186690496	67.3835636427268	21.7339829981339
STXBP4	1	1	1	1	1	1	1	1	1	1	1	28.0411889268012	1	1	1	1	1	1	1	1	1	1	21.7339829981339
STXBP5	10.6345705512704	29.6857924738028	34.1944360368516	17.6069190030287	57.3780208729099	140.81854171032	31.3689102739469	40.3459027798449	1	162.985811954851	155.009233922657	75.5041421891753	25.3808284015275	63.2509025684142	51.8143279051365	110.937631855502	175.447988018241	105.096988852183	33.9184947563689	64.9962894288294	53.2543876737864	18.1481608570404	1
STXBP5.AS1	1	1	1	1	18.5867218787849	1	1	1	1	51.3866625928265	1	1	1	1	1	1	1	19.3384290653947	1	1	1	1	1
STXBP6	1	1	1	1	1	1	1	1	1	1	1	93.3391404661729	1	1	1	1	1	1	1	1	1	1	1
STYK1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
STYX	23.4374588693607	85.4277618686249	65.3919872245278	51.7737597164888	1	1	89.9319757580787	15.9198757255441	22.3813995050459	1	1	40.8657993828868	99.7074568768377	67.8993853805704	75.8416797093816	1	1	31.0609338515229	50.8011690913808	25.7480276156904	18.8837592207257	71.049526659144	65.6401919366533
STYXL1	32.6706113411698	1	26.7986769813022	27.1718833043608	33.1346877550284	42.2819528998888	1	37.8661563509284	1	1	1	6.69564915699913	22.3075516998534	33.7575777360247	43.3894537608007	1	1	35.3716616153174	31.1063945599797	24.2131285613343	52.6447562497336	39.2653140227167	15.7883054080833
SUB1	2202.86539031368	272.021523577014	818.87408818365	193.480093648313	113.615684595735	217.901856927891	320.451512391114	327.641065589419	324.74644394135	723.047570887452	129.533048537296	229.351714732782	238.395217238225	362.248573123522	346.819710275605	168.89932630494	277.65359931015	162.006469543579	203.730869302469	72.2783106291973	210.494872775023	437.425206607888	515.544017640311
SUB1P1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
