Mixture,IL1R2_absolute,IL1R2_percent,Absolute_score
qns31079_269,0,0,19.6700563525936
qns31079_273,0,0,28.965324545477
qns31079_274,83.83214146403547,6.990101617848253,34.6308806357816
qns31079_275,58.06419224044915,4.0617420113139815,37.8092468902993
qns31079_276,40.66897070114798,3.103358573864861,36.2005868686823
qns31079_277,0,0,31.0667137215283
qns31079_278,80.63344565950055,9.758779006565433,28.7448381520275
qns31079_279,0,0,32.3313298658435
qns31079_280,1.3784309498011524,0.10962250109844889,35.4603203408321
qns31079_281,0,0,36.2814637419775
qns31079_282,0,0,32.4254828687646
qns31079_283,0,0,28.325241083385
qns31079_284,195.03467905967707,10.731122888376717,42.631767218961
qns31079_285,2.9680018477914545,0.2100800656444416,37.587172862172
qns31079_286,118.38845965964103,11.32660323016526,32.3299357311741
qns31079_287,5.869129390562524,0.5565204167526917,32.474785500133
qns31079_288,181.58525138469219,12.223462316632837,38.5427916007705
qns31079_289,158.20748901841964,10.125806051180282,39.5274425845281
qns31079_291,0,0,27.8140583706775
qns31079_292,0,0,24.1834938026252
qns31079_293,0,0,20.4988323275041
qns31079_294,27.00379259532092,2.775980828715465,31.1891939180206
qns31079_295,0.5568023812956641,0.0446865494449931,35.2989779881196
qns31079_296,69.20012940451548,6.073381950015098,33.7550034017611
qns31079_297,0,0,28.7451585258522
qns31079_298,108.30934251173056,8.577918347735205,35.5338288137745
qns31079_299,45.942679839981494,6.237532235994842,27.1394948893051
qns31079_303,0,0,31.4016303432117
qns31079_304,161.6110109296037,11.869729878742469,36.8990390050372
qns31079_305,29.299700799096335,3.0830602107306033,30.8276620632103
qns31079_306,1072.092064878655,30.945269688360504,58.8598166365856
qns31079_307,149.55599122149624,8.872829546374565,41.0554520653434
qns31079_308,0,0,26.2311671138283
qns31079_309,436.74198968017953,24.64918407996658,42.0931280090849
qns31079_311,120.12898354329275,12.352599222810547,31.1849265610973
qns31079_312,47.55026847032428,4.2370671853728465,33.4999232016756
qns31079_313,46.51253933333715,5.263754090307045,29.726051727645
qns31079_314,98.36606094803672,8.472676974505355,34.0731524001995
qns31079_315,0,0,28.8015414110995
qns31079_317,0,0,20.7246044080481
qns31079_318,9.027543644681671,0.8906899323737243,31.8362221611864
qns31079_319,0,0,24.0457884398322
qns31079_320,65.35831206601058,5.685704419694722,33.9045726428372
qns31079_321,0,0,30.4669589672154
qns31079_322,368.2393194708827,19.60028272035083,43.3444914394659
qns31079_323,97.77939313398592,6.872306307184367,37.7200634495186
qns31079_324,0,0,28.6637255434009
qns31079_326,238.59358815636466,13.404279872687571,42.1898169126642
qns31079_327,13.595691721152766,1.676795964856787,28.4747909370357
qns31079_328,20.964772410499982,4.339288384375579,21.9804115241642
qns31079_329,14.436885075868112,1.7708265518125585,28.5528022200998
qns31079_330,179.46228583425093,14.179099671420792,35.5764221546232
qns31079_331,18.470775026902135,2.4075093005451293,27.6986480858282
qns31079_332,37.36492431195603,2.1109979892204533,42.0715142565941
qns31079_333,472.8869804998841,22.546407547165277,45.7973134305883
