NAME	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
AC023157.2	8.98647959198393	1	1	13.2592482812248	46.2362373577049	142.416293454305	1	41.2014554216891	1	1	176.115101269679	39.2904948110723	1	1	1	107.304565086209	94.1684783871555	40.7323822748641	11.8967651805686	1	23.7323639564028	1	28.5520044083207
AC023590.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99.4709670018766
AC023794.5	1	1	1	1	1	1	1	1	1	1	1	6.70151537276229	1	1	21.4483757991834	1	1	1	1	1	1	1	1
AC024940.2	1	1	1	1	73.7569680664489	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC025048.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	70.8984865123717	1	1	1	1	1	1
AC025048.6	1	1	1	24.3000261501606	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16.7604099873135	1	1	12.4524847270745	1
AC025164.2	1	1	1	1	1	1	1	1	38.2017846952685	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC025171.1	1	1	1	1	1	1	1	1	1	1	1	29.3933270042636	1	1	1	1	1	1	1	13.0337510016343	1	1	1
AC025279.1	1	1	1	1	1	1	1	1	39.3026865901696	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC025884.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.0938990058465	1	1	1	1
AC026271.1	1	1	1	12.9959878488785	1	1	1	1	1	33.1387079372804	1	11.1649129800036	1	1	1	1	1	1	1	1	1	1	57.9210310639602
AC026401.3	1	1	43.9385593928561	10.1881920918978	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9.90168350001278	11.9137825661261	8.76424771851812	1
AC026462.1	1	1	1	1	1	1	1	15.2890047649363	1	1	1	1	1	1	1	1	1	1	1	1	1	10.9675106964301	1
AC026471.4	1	1	1	1	1	1	1	1	1	1	1	27.2021057595171	1	1	1	1	1	1	1	1	1	1	54.645190708653
AC026979.2	1	1	1	1	1	1	19.2012311766987	1	1	50.7862858933555	1	1	1	1	1	1	1	1	1	1	1	1	1
AC027020.2	1	41.0577860166526	1	1	1	1	34.9319765648118	1	1	1	1	1	39.5211942295836	1	1	1	1	1	1	1	15.9487590617773	1	1
AC027097.1	1	1	13.9217589242788	1	1	1	1	1	1	1	1	1	1	34.3123058906913	1	1	1	1	1	1	1	12.3380929708363	58.5780068826846
AC027290.3	13.7068834238748	1	1	1	20.9142518466941	1	1	1	32.7470774469276	1	1	37.7227094407858	1	1	1	1	1	1	1	1	1	1	1
AC027559.1	1	1	11.144314082655	1	1	1	1	1	34.6635519884829	1	1	19.2244415156605	1	1	1	1	1	1	1	1	1	1	1
AC027644.3	1	1	1	1	1	1	1	1	1	26.32293593689	1	11.8569983840737	1	1	1	1	1	26.1692570395843	1	1	16.6849295164486	1	54.645190708653
AC040162.1	1	1	11.0471644819366	16.8627811709283	1	1	1	1	1	1	1	1	1	22.1706987736557	1	1	1	1	1	1	1	1	1
AC040970.1	1	1	1	14.5909977079797	1	1	1	20.9488296037443	1	49.9237358907378	1	1	1	1	1	1	129.405255432292	17.9624469955003	13.7606270337837	28.4139930094441	24.5128851827221	16.1456665386209	1
AC046185.3	1	29.6381686453359	1	13.0461287612811	1	1	23.8557364669548	1	1	1	1	1	17.0303714388204	19.4830206236662	35.3134075269266	1	1	1	20.2907774428812	1	1	1	1
AC060780.1	17.9495720893285	28.9690582626404	1	1	1	1	1	1	24.8497783424937	1	1	46.1105575689975	14.6135273185576	1	1	1	1	1	1	9.87022759267117	1	12.4938418446817	1
AC064799.1	14.8640433863014	22.267264803065	1	13.9129280536398	1	1	62.0648324679244	1	1	1	1	46.5204846252107	28.1748872812621	1	26.8258002109373	1	1	1	1	1	1	9.16529739395653	1
AC064805.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	64.0583692734872	1	22.2183544495746	12.6402763265567	1
AC068775.1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.2065526605863	1	1	1	1	1	1	1	1	1
AC069528.2	1	1	1	1	1	1	1	1	1	1	1	12.7065013496644	1	1	1	1	1	13.892918098855	1	1	1	1	1
AC073111.4	21.4772877395666	30.8829060248562	20.8091319316541	1	1	1	47.1808818191111	1	43.388475782811	1	1	25.8272887574634	34.4410808368226	1	23.6871896069012	1	1	1	1	1	1	1	18.9979977598126
AC073172.1	1	1	1	1	1	66.9334957716791	1	1	1	1	96.6593235580787	1	1	1	1	31.5997714110927	1	1	1	1	36.8773162306381	1	1
AC073896.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13.0460365584162	1
AC078846.1	1	1	1	1	1	1	1	1	1	1	1	10.0623730778269	1	1	1	1	1	20.2903580839605	1	1	1	1	1
AC079209.1	1	1	1	1	1	44.2080954160532	1	17.4873209589208	1	1	42.0641031092197	1	1	1	1	26.9620081704632	1	1	16.8320224717058	1	31.596603103413	1	1
AC079760.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	12.4846652744956	17.5696214371097	1	1
AC079922.2	1	1	1	1	1	1	1	1	1	1	1	1	19.5558197699758	1	1	1	1	1	1	1	1	1	1
AC083799.1	12.1819680279738	1	1	14.3927931273345	1	29.977471954664	1	1	1	1	1	1	1	1	1	36.7936989636774	1	1	16.105000915524	1	18.5102608785666	8.9093244776115	54.645190708653
AC083855.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	18.3015194677312	1	21.1068395165562	1	1	1
AC083862.1	1	1	1	1	49.7401396266958	48.2673032238172	1	1	1	1	1	1	1	1	1	37.3380866857601	1	1	1	1	1	1	1
AC083862.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	61.8742099764893	1	1	1	1	1	1
AC087741.1	1	38.8277522602055	1	15.5866252083165	1	1	25.1761558971095	1	1	1	29.6041914499569	1	37.572769572792	1	1	1	1	1	14.5074921731559	1	29.3165039977448	10.7984852188755	1
AC089985.2	1	1	1	1	1	1	1	1	1	44.3321701812104	1	1	1	1	1	1	1	1	1	1	1	1	1
AC090114.1	1	31.5537414341274	1	1	1	1	1	1	1	1	1	22.2494253627154	1	1	1	1	1	1	1	1	1	1	1
AC090114.2	1	1	1	14.7174659851356	1	1	1	1	1	1	1	16.2185389614063	1	1	1	1	1	1	1	20.1174192726455	1	1	28.5520044083207
AC090152.1	10.4084065699394	1	22.7664576299596	1	1	1	1	1	1	1	1	69.6734684774149	1	44.5520824770455	24.1078897944555	1	1	1	1	1	1	1	1
AC090204.1	1	1	1	11.2992261420946	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.9412194057711	1
AC090409.1	1	1	1	1	159.508169947117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
