Mixture,TS1,TS2,TS3,BS1,BS2,BS3,NS1,NS2,MS1,MS2,MS3,MS4,DS1,DS2,DS3,MK
qns31079_191,8.308052726291656,3.790698799506573,7.9057782630736035,2.6081878684352975,6.647234384777654,7.573898366610873,5.373228058931049,4.099309568697119,13.053521033917317,7.33734890321003,9.51583392959854,0,3.5587758376432097,6.198246808316809,6.849069881680983,7.1808155693092814
qns31079_192,1.6866378768722439,0,8.380649403469837,0,1.7613950669211718,6.605766320779388,5.991960017807562,2.355870234141894,36.530590381518294,4.0665558526203,14.199890519324196,0,2.1358919094206823,2.0090314837536547,4.778680836799349,9.49708009657144
qns31079_194,6.478144437421658,0,7.534451337069214,0.5238452637574674,3.282773483384465,6.9775081125063645,5.176149297483222,2.168925523150272,35.37611244878014,3.7530251908571106,11.736312156029294,0,2.7739966162698377,3.0729849251085057,5.189707066462181,5.9560641417202715
qns31079_195,7.591632797251247,0,7.54451701640663,0.9809370444747543,5.007420062047461,7.136444132266161,5.025279152325023,3.8169341831206807,25.083714716944506,5.426050003197729,12.180169959201557,0,3.732873074149521,3.919506199679304,5.731807485515908,6.822714173419528
qns31079_196,4.961589362099553,0,7.583036586089994,0,3.600387234755092,6.894531378852971,4.90068119492197,2.0723987908022243,36.90834462069707,6.0047711372768635,9.808490133481182,0,2.606417513511475,2.5321122512642233,5.080942978708615,7.046296817538768
qns31079_197,3.660264351058152,0,8.231651735861647,1.3921740518995527,3.3408458273489496,7.287679803706193,5.001462256778814,1.8143559282091246,30.919594537239426,0.3546726758025935,16.55321214350422,0,3.0543466748307595,3.583143309679397,5.589896539135892,9.216700164945276
qns31079_198,7.836087113875205,0,7.002201171851595,0,2.097353905220471,7.070238518095974,2.033185823120413,0,41.92641480160738,7.695121931600156,10.893613272341014,0,0.9819414501477889,1.0635146336619965,4.63484168413452,6.765485694343481
qns31079_199,5.091790902926297,0,9.05510694194955,1.0209937072384685,3.883162728429147,7.713519352802196,4.856156733624139,1.7719992491243797,22.317197301347477,11.237700108573998,14.272443715265364,0,1.4742569039997404,3.1237031584995876,5.449218099284387,8.732751096935267
qns31079_201,6.060676572993804,0,8.358128998780472,0,3.4269143982558083,7.07097383414855,4.133857197359305,1.3315667685665502,28.668060823028686,13.143708736476768,12.81326347219778,0,1.9099262570564686,2.74793718906938,6.011998265195825,4.322987486870615
qns31079_202,4.163404148997649,0,7.816468999386441,0,3.687037089988453,6.95304002920531,5.560334350315874,3.4207168884651966,28.697903813751157,5.623432307141696,12.168201575332521,0,2.8288544272088827,3.214436148906183,5.712321230906838,10.153848990393808
qns31079_203,12.02189118710628,0,8.719062358774016,0,3.3779040665013924,7.354839133352361,3.1100908664523907,2.824355846976695,21.932342849094038,7.79164037398305,13.436139817771858,0,2.249202261574898,3.36682389895929,5.524556935849359,8.291150403604354
qns31079_204,11.856748578094104,0,7.752976959639487,1.6667128832453662,3.51771650325414,7.036300246117088,4.727662070910258,1.8927203944333906,27.786525172685444,6.740891737305264,11.2669226016213,0,2.2015938342042682,3.136398573517641,4.90027718411148,5.5165532608607775
qns31079_205,9.581593160730957,0.44818306672611197,8.793797988589477,1.741612491730575,3.813683737149112,7.502402410416312,5.085836996173458,3.4633683516097595,22.79292064768991,9.680758770303372,11.375840590058893,0,1.642889920085111,3.402489346939705,5.265821581105742,5.408800940691502
qns31079_206,4.0420435668066315,0,6.100486087821796,0,1.9890597335356501,5.87681954944608,3.5670740529158085,1.1296511308745756,46.94345428863194,6.347135513578241,8.49482814641775,0,1.3136431300897307,1.4207352146861605,3.6926266623626676,9.082442922832968
qns31079_207,2.5444847591722204,0,13.342709034722397,3.6009996985435033,16.481172670630386,11.088277672836663,1.9230627056257772,0,16.493041469010816,7.218508807286636,10.138451900763283,0,0.7236760550505398,4.082221465724324,6.266452683238544,6.096941077394912
qns31079_208,9.944650502577044,0,8.064136754245634,1.4135564527351174,4.84555409037011,7.934686165005458,4.43303197135527,2.1982869949176966,22.678560505311502,7.556656930863283,12.091510761084532,0,2.258423434336621,3.3194252564414466,6.124930404301173,7.13658977645512
qns31079_209,6.3795673415463705,0,7.973748837467359,0.9903084268338287,5.422665682273813,6.9969126328809885,4.606829619541712,2.1895776001841734,33.30450234891349,2.3786124207543025,10.123497514220196,0,3.0672095396068646,3.4227149952246396,5.185875052729234,7.957977987823048
qns31079_211,6.3913270399270585,0.087967780559108,6.750499569147873,1.698539632900387,4.184113356898397,6.649514228681593,4.9700573912050325,2.9733769900974343,31.85052756050888,5.501298494723189,11.804571055636663,0,2.3293661689038005,3.352333511266089,5.346928848941414,6.109578370603076
qns31079_212,7.442496966641832,0,8.424460923261206,0,1.9119078732527712,7.142582316154206,2.3323835427626056,0,25.888369558477653,16.627186695735418,21.861741969787936,0,0,1.753920524996418,4.014221239041756,2.6007283898881934
qns31079_213,4.702793847235236,0,6.1956112076669445,0,2.7231633209791157,6.4247523067212775,2.758858505562637,0.9065515435474703,35.78812106891232,10.503201834218597,15.858632904255495,0,1.0732587514815828,1.7757578290188931,3.735603179833439,7.553693700566999
qns31079_214,4.037393276458402,0,5.977734487441567,0,1.581558365911819,6.109996961136786,3.322610187659735,0.8698763426384466,48.829897746199904,1.0178353937496352,13.708483459673632,0,1.9252519478857009,1.1812963675996357,4.07729716833644,7.360768295308269
qns31079_215,3.529693638393552,0,6.876477745828543,1.0698771605249737,3.636226988069747,6.812309936187113,5.683781007384297,2.1069619000911692,34.4398677435434,6.0863151336342884,10.127481377175307,0,2.9334923510147974,3.362897290773041,5.081354598806772,8.253263128572994
qns31079_217,0.41650064581121415,0,5.800766201975606,0,2.4578961198749494,6.376168878693833,1.9722992590631976,1.2055332176524354,53.88865731264369,3.220056549090563,11.486600886670947,0,2.5432759269470675,1.324437979943261,4.569419807692983,4.73838721394025
qns31079_218,0.14618324692608908,0,5.647582929236257,0,0.5509521207360892,5.771308859110599,2.337433029132337,0,55.164588731881835,3.7094212563212956,14.14060521350515,0,1.6253970451761686,0.5690420648203538,4.178727464277816,6.158758038876017
qns31079_220,3.404555286196651,0,6.72507012515368,1.0377582263138965,3.4927290973576235,7.2155246546696334,5.980301274137852,2.03980862355095,31.567221002436952,5.40132512212697,14.917405650315786,0,2.6482873507304303,2.803836450456803,5.329664971326113,7.4365121652266275
qns31079_221,3.9822904450272025,0,7.221518025927125,0.4899332833722027,2.781744190537434,6.896086037884662,4.869064422589639,2.558928087775418,38.98824321645835,5.055501222271283,11.898833151918522,0,1.9281902430123419,1.8472901121249836,5.2625118246970155,6.21986573640382
qns31079_226,7.4248509840177,0.8878386372086707,8.046286411903814,0.7488294749892288,3.623895985379362,7.547778167121254,4.595950324751148,2.23692005829,27.99471336801916,8.649447016056392,10.178104144841683,0,2.643406145926858,3.6116931920934054,5.328189086507247,6.482097002894085
qns31079_227,4.846937247110605,0,7.169145636430034,3.153392015864688,3.9191060905236696,6.983960994462339,5.36276290441463,2.7392389476048873,28.92781349215754,8.783212271690072,11.164460487754472,0,2.1742045280674707,2.916407774082966,5.437834405266095,6.421523204570567
qns31079_228,4.028015195526218,0,7.2742141773140645,1.5647700852993398,4.129857674517274,7.383036105376077,4.507245418141482,2.6650332855020746,29.496583397679533,5.094027347852682,13.958088372270181,0,2.917180855798558,3.816436353090206,5.793255408111381,7.372256323520943
qns31079_229,0.007914970778827597,0,5.216094048995889,0,1.2783907701692354,4.963841175670796,3.0342428540369015,0.26968368501825174,60.507938554868865,0.09356079914729551,12.556655074269798,0,1.149603705595991,0.6977221897883296,3.912928549622835,6.311423622036987
qns31079_230,3.0039224345333255,0,9.280241538722374,0,5.299685691406924,7.766117414033453,4.1516910927765664,0.925266188290959,30.587279993540488,6.83968132181586,14.1840012005804,0,1.823831834852534,2.5083010228947766,5.510678569182587,8.119301697369746
qns31079_231,6.138502983417134,0,7.047716679770287,0,2.8240948362143086,6.086830046364581,2.4577506269820297,1.1887235811744397,32.75192575980637,15.6526072748594,14.761862961391788,0,0.479035335157503,1.8075853691247985,3.7610878827129173,5.042276663024444
qns31079_232,0.6637290009028849,0,6.553481599313847,0,1.695171564486047,5.868392381603353,2.2702122948547347,0.8395029539194894,57.59486359833844,0,11.906939966239095,0,1.5808366610755205,1.0308822265748858,3.898235791914063,6.097751960777648
qns31079_233,19.206942509356733,0,7.771333858083823,0,1.9663907618908232,7.198511250418534,1.6894159524624388,0,39.09127904081486,2.793378403419254,8.62895136160702,0,0.9084280973866077,0.6099411642995053,4.4337584981923746,5.7016691020680295
qns31079_234,7.691417468708445,0,8.337903834594904,0.49740824633763575,2.8198631972990404,8.045134942437054,2.7923948788764164,1.8158615278398487,26.322307920521304,10.107304166529987,10.576700623490355,0,2.381596966798845,2.902519268416003,5.486374375405209,10.223212582744939
qns31079_236,6.775432373012498,0,7.326761244423863,0,3.473455019440109,7.201786184807483,3.6877846340096903,1.6320462380204899,36.61262766342156,4.619967303773009,10.315546138985209,0,2.257375634918703,2.2593685270045083,5.276993867095662,8.56085517108722
qns31079_237,2.589129963256107,0,8.119524498258597,0.7227503204768296,2.2955822054974746,7.826321739515614,1.7060283627927788,1.1931037379535154,47.275142441302336,2.0527651901345365,15.571465653879418,0,1.5859654084500057,1.8013553490952146,4.483121141960946,2.7777439874266356
qns31079_239,6.469653631254692,0,5.237915794285197,0,2.5307105471427045,5.556628111849196,1.7625038294140745,0.4937882432721842,48.74301853010671,2.9929539260342657,13.099521271241585,0,0.9627740465491545,1.3696889899114832,3.910646754465299,6.870196324473456
qns31079_240,4.562435905066523,1.2580838448715315,8.598766770703268,3.27042308007277,5.322265897883472,8.405444241014322,5.131726998972564,2.850576891981628,26.389244184474702,8.824908068416427,11.107566981250567,0,2.048443598296688,3.349425695705397,5.818981514012928,3.0617063272772107
qns31079_241,7.070005027987583,0.3073698451322264,7.869433485758082,1.403090718869037,4.513034692388786,6.902109193930162,4.08630316074132,2.1553684830836026,38.15040572635623,2.3505468372637988,8.30133091176796,0,2.7181483124963046,2.9424202318920236,5.271810314238553,5.958623058094318
qns31079_242,11.035881343193973,0,8.2075836717469,0,2.847671238699667,7.066272930590878,3.401465481175588,1.8070348109404932,35.197918391279465,8.84314528987275,9.043092345267596,0,2.061671469847296,1.5241386247729183,4.408386625197223,4.5557377774152705
qns31079_243,6.845402730115022,0.7145454201916442,8.256924886166752,3.914442716427928,5.260257730524785,7.423060118949265,5.908740737036621,3.6826531254861496,16.334084449204802,8.44521097419541,12.276892673161285,0,3.052041394378013,4.356796620093603,6.003179228159048,7.525767195909665
qns31079_244,7.49859227180061,1.1586386345682147,7.61493615770617,3.0036270151091524,4.878911266192527,7.493534105528979,5.006974425778991,3.0238099848910007,23.69070270847916,7.506561167129089,9.864845616817142,0,3.2121216273520035,3.9925164537251123,5.992160212714715,6.062068352207128
qns31079_245,3.5107523604410504,0,6.324286370509942,3.8139019789348803,4.2583277859956095,6.538309895059456,4.393423566450082,3.286405828240275,26.07141006047383,6.104360710007263,16.65529683412671,0,2.4530395050808282,3.3720058238449218,5.631312918081568,7.5871663627535755
qns31079_246,5.69341364517396,0,7.892772617305058,0.7103493517847093,3.7496947217971184,7.756736574656527,3.3275588883939653,1.8355740153221174,36.121218314009575,1.3121625515057704,12.693155527177877,0,2.2863460657051102,2.8611510340425834,5.7970930144645605,7.962773678661062
qns31079_247,9.281063722898995,0,7.997012615834829,1.0912937875313988,3.586444974504785,6.883794363494888,4.5943149349027,1.7582078473619513,27.34225795615569,9.80579405289173,10.761350806903708,0,1.9530118470055577,2.9203186322307255,5.688000195182224,6.3371342631008
qns31079_250,4.862096929047565,0,8.045759825796317,1.2399197550174872,3.88639365809587,7.7372671819140235,4.60699236678967,2.2587250815116575,23.50003448927774,11.571749714766666,12.843892456038994,0,2.120322889654606,3.3997102100797267,5.555466407877726,8.371669034131958
qns31079_251,8.326993127591575,0,6.714263237589892,0.525735380805164,3.2760361794598998,7.212732814045151,4.574244848717978,2.936860715770966,28.61737006210165,6.806870663351605,14.209305373053086,0,2.2310070184139996,2.9953020796129315,5.16746070454267,6.4058177949434265
qns31079_252,6.177042158400532,0,5.991962776685647,1.0591304611427006,3.4700905884316833,6.05891577700317,4.004522301402236,2.5330428986042044,34.257632134054475,6.8205850742040095,12.463192526277265,0,1.9044899369847899,2.7855088411382933,5.019157023379961,7.4547275022910435
qns31079_254,0.24707754664903603,0,7.618637489560827,0,4.481527965314846,8.604190629397308,2.5460234144405747,2.236495237288709,40.05411883839063,5.0827601611354805,12.902090427098164,0,2.5251049277515363,2.6171470735071605,5.755201690927326,5.329624598538408
qns31079_256,1.2733437858853214,0,6.872947148217568,0.702775592549036,2.904743976300549,7.286642367337483,2.5403765976797095,2.0083728901686153,44.73198942485869,5.949673851633972,9.715641269100889,0,2.0418001349818407,1.6292010640098684,4.590288447490154,7.7522034497863155
qns31079_257,6.6881005390508745,0,7.426600755329743,0,4.726468605522783,7.310360023236101,5.590388121927632,2.6763395593925177,27.590280286083186,6.574676430596034,11.298717744390963,0,2.663597394342614,3.6374898090327394,5.623241023550124,8.19373970754468
qns31079_258,6.456466013150032,0,9.26286737028778,3.63556327969922,4.43027613675323,8.442323377840596,4.134861735128151,1.2994711807889119,19.666705530742597,8.781471720146996,16.65790860621171,0,0.8057161096787936,3.083570188701692,4.974558857457499,8.368239893412802
qns31079_259,10.248433516071326,0,8.713247674747691,0.057393204066209305,4.47198033357101,7.259385064068971,3.3587147243075237,1.1476148126034669,29.13701164392244,3.9315493255514653,10.158727895714561,0,1.6633806759577485,2.54902407061264,5.103161098906832,12.200375959898103
qns31079_260,0.3909606633031435,0,7.833968778960807,0.7169215563336403,3.9572929386472757,7.267853937400176,3.868505984417441,1.6990965030732132,39.10177648400202,4.5950193384656615,12.595819025038512,0,2.6918786680721105,2.5993747733438264,5.201717742557189,7.479813606384962
qns31079_261,0,0,5.321115161137714,0,1.8941926292963416,5.787512121470825,2.8530090400840855,0.3286196302155979,54.62738486516928,3.556094263791302,12.978666437153313,0,1.666722753895057,0.6443060179312927,4.121058344630522,6.221318735224661
qns31079_262,4.52926161981387,0.5087425554025788,7.307272772571297,2.6258707531276384,5.143948698560328,7.582541177046437,4.443419237247622,2.989619012177413,26.508287128477022,8.589928433477828,10.32724496577327,0,3.3674511069811617,3.3235235738157862,6.1203263150480405,6.6325626504797075
qns31079_263,2.779505360567022,0,8.709505530284746,0,4.131320295256012,7.772334438791768,3.212102755933117,0.9612847322221025,37.03857191817627,4.038532827065822,14.814412282191977,0,1.6303016181588266,2.243871696525873,5.464996929127716,7.203259615698755
qns31079_264,2.593664015367634,0,7.737451627999749,0.47904409162267314,4.633569078060627,7.373513669300835,5.4626058923799885,2.5293712863171303,34.6876656487257,5.430991938982293,12.889361362383319,0,1.8599110014616231,1.931980101422989,5.384228223971318,7.00664206200412
qns31079_265,7.452546656427496,0,7.841202355197568,1.5273843028807157,3.847952179559575,7.283875427705805,3.925723741591948,1.566960847768099,26.013365220909957,8.097577843541682,13.712662241629978,0,1.933662766744643,3.1957842516463533,5.295421393213536,8.305880771182645
qns31079_266,7.230257868502783,0,7.777522755231828,0,0.19088022397123863,6.246177522764597,2.3389089074104,0,34.26616326975013,10.61064421661358,21.94114619893402,0,0,0,3.1336034410679594,6.264695595753454
qns31079_267,2.729981611155136,0,8.201638559930496,0.5792738059534818,4.023531928039684,7.578114871686352,5.401612888699833,2.1775000001956992,31.12186957737219,6.474120883226934,14.851669035872112,0,1.9227275594556181,2.659883954523579,5.49272092142659,6.785354402462299
qns31079_268,6.186458464525272,0,7.137260762749283,0.7311734876728135,4.246715407017144,7.089658988655653,4.005739121858225,1.207100964430757,35.491068294490034,3.6636190169359857,11.812477820762433,0,2.130916516880571,2.3399269488735213,5.530309616692234,8.427574588456055
qns31079_269,3.6195268133680036,0,9.867990343872572,11.134614693117708,12.706273584940709,9.728644153863119,2.598855038285119,3.012707655396998,8.190202621236889,6.522792874230768,8.70526938483498,0,4.581109672261399,5.551571015477099,7.502438498769107,6.278003650345526
qns31079_273,9.952169777169695,0,7.327886714715158,1.6312807750588272,3.5759889165506653,6.929012234730844,4.665515248301101,2.4745307458347057,26.905267830977053,5.277718434371555,12.88335397589645,0,2.890300053392087,3.495651390484937,5.297043229443815,6.694280673073106
qns31079_274,11.927532982932465,0,7.87408180137297,0,2.5267418167486335,6.361723035735039,3.6951324934825767,2.279715028439294,34.27762757316813,6.371036685634343,9.440847014759777,0,1.6877691224920661,2.385203321988314,4.697416586573596,6.475172536672795
qns31079_275,4.958175469892406,0,7.602931862103722,0,4.913650237470876,6.803418322040415,5.086139603732817,2.312461137017761,32.33687147793023,6.2806128217269706,12.538769871229041,0,2.085301274857361,3.8820737949651054,5.35855809564997,5.841036031383353
qns31079_276,3.1317216316262475,0,6.673288516517631,0,1.745520981733701,6.880963207042427,6.159999875329423,1.3354426928656344,49.29218993422347,1.415167052780691,9.42186127018553,0,2.0556856755646677,1.1617084497898054,3.9846638774007745,6.74178683494001
qns31079_277,7.040950997750041,0,7.447649178966517,0.6852612677850661,3.538917724575056,7.3722762792048435,4.021504986771907,1.7279671413671573,31.878854986280725,6.357902197043357,14.840775001691513,0,1.7268055224514869,2.9736298575265727,4.861251464993767,5.526253393591989
qns31079_278,19.4639764933969,0,9.711157464559303,0,2.2202409195156627,7.7134676545321526,4.661085170344952,1.9834945442755585,24.356363956414537,3.0783816919507996,9.576039261602984,0,2.667048315528122,2.906930108449388,5.4056090177518845,6.256205401677763
qns31079_279,6.05245094394809,0,6.38915940794242,0,2.616506795688594,6.725182500168099,4.680170348520381,1.9257369724654134,34.85919371225287,2.761630605006686,13.042609837370236,0,2.5328248256410015,2.5638927549817834,5.197036884419861,10.653604411594566
qns31079_280,2.9495686877493985,0,7.633202109265512,1.4939655860600305,4.580173941102236,7.467449482427294,4.577035519036421,3.60174038888496,24.75090025687493,10.437666322468568,13.36974837466357,0,2.6746197941107224,3.4894023830301935,6.454190663705719,6.520336490620419
qns31079_281,5.802516320807862,2.1240583190689626,7.877767896352037,2.492232091163042,4.306081204833796,7.607661018390768,5.3390400966272225,3.2516317608811596,24.452561411747926,8.556501396706736,10.810327048963918,0,3.1239232696944024,4.063205466894843,5.661006880232289,4.531485817635023
qns31079_282,1.186240811050196,0,6.253311143924057,0,1.1576338094416394,5.959851123059802,1.302270192770459,0.5657261360170391,54.41633496066777,0,13.042219015476611,0,2.4306586484092803,2.045381102014301,4.648510201610005,6.991862855558841
qns31079_283,7.812864845677299,0.8141518770672934,7.638014739237545,0,2.4613950711159545,6.651057443164257,3.622803142281176,1.6019950863692807,33.76539315472766,2.744394347097535,13.691216538860138,0,2.5239263355446173,2.9683373871257865,5.984723027430032,7.7197270043014274
qns31079_284,0.8302912413951317,0,6.56620935761742,0,3.671287442042436,7.1516808954495925,4.770011374400743,2.2380859931641424,41.23827754961169,0,16.492541363355286,0,2.8872957568578794,3.1588750589545627,6.269826649374448,4.725617317776673
qns31079_285,2.9452526468187643,0,6.912590816761248,0.8753160631349599,2.8338853323403823,7.05957790115199,2.3287484642458076,2.080641410560907,45.84167929598086,1.6179321105086437,10.051415088730892,0,2.9414773908509786,1.9916128382864773,5.584734461949604,6.935136178678493
qns31079_286,4.2323431072213635,0,8.411838671937165,0,4.582491922461306,8.215965389509487,4.039500858941157,1.4434383153167933,33.03013260903131,7.74406409612423,10.533044951708115,0,2.5286724523301185,2.853213150362544,6.031888677709028,6.353405797347388
qns31079_287,14.082773671042434,0,9.32170917760188,0.031503093022713965,3.574120229330187,8.693044957265258,4.749946814939658,1.6673641855655008,21.735044129864267,10.76208237853655,11.32128883535279,0,1.823926235793418,2.9666041246229766,5.647509909293539,3.6230822577688198
qns31079_288,3.0463056220472726,0,8.298155813503264,0.9576272394038693,3.500359638765808,7.315008938419432,4.411134575332812,2.180172337886366,34.07084613652983,10.91324018173844,10.536896950382125,0,2.658526099334484,2.522226346454666,5.921062002071221,3.6684381181304246
