"Group","HiIL6","Marker","Group1","Group2","p_value","significant"
"CAP","LowIL6_M","IL_6","KP","LPS",0.000804017695616728,TRUE
"CAP","LowIL6_M","IL_6","PP","LPS",0.965138884926361,FALSE
"CAP","LowIL6_M","IL_6","PP","KP",6.29201134885836e-07,TRUE
"CAP","LowIL6_M","IL_10","LPS","M",8.01342869721771e-53,TRUE
"CAP","LowIL6_M","IL_10","KP","M",4.96861429916276e-57,TRUE
"CAP","LowIL6_M","IL_10","PP","M",3.08800362413162e-58,TRUE
"CAP","LowIL6_M","IL_10","KP","LPS",8.20466453285587e-09,TRUE
"CAP","LowIL6_M","IL_10","PP","LPS",1,FALSE
"CAP","LowIL6_M","IL_10","PP","KP",1.72011544518496e-10,TRUE
"CAP","HighIL6_M","IL_8_1","LPS","M",7.76670291762962e-15,TRUE
"CAP","HighIL6_M","IL_8_1","KP","M",2.21892636792799e-13,TRUE
"CAP","HighIL6_M","IL_8_1","PP","M",2.92779880527035e-19,TRUE
"CAP","HighIL6_M","IL_8_1","KP","LPS",1,FALSE
"CAP","HighIL6_M","IL_8_1","PP","LPS",0.0534580381179062,FALSE
"CAP","HighIL6_M","IL_8_1","PP","KP",0.0074689572519668,TRUE
"CAP","HighIL6_M","IL_1beta","LPS","M",7.0869942725642e-18,TRUE
"CAP","HighIL6_M","IL_1beta","KP","M",3.14367819167949e-23,TRUE
"CAP","HighIL6_M","IL_1beta","PP","M",2.77218173032392e-17,TRUE
"CAP","HighIL6_M","IL_1beta","KP","LPS",7.93701819108762e-08,TRUE
"CAP","HighIL6_M","IL_1beta","PP","LPS",1,FALSE
"CAP","HighIL6_M","IL_1beta","PP","KP",0.000238693958006394,TRUE
"CAP","HighIL6_M","CCL3","LPS","M",5.6615384410038e-09,TRUE
"CAP","HighIL6_M","CCL3","KP","M",2.76242596965418e-10,TRUE
"CAP","HighIL6_M","CCL3","PP","M",1.71719882653592e-08,TRUE
"CAP","HighIL6_M","CCL3","KP","LPS",1,FALSE
"CAP","HighIL6_M","CCL3","PP","LPS",1,FALSE
"CAP","HighIL6_M","CCL3","PP","KP",1,FALSE
"CAP","HighIL6_M","IL_1RA","LPS","M",3.74600501082916e-08,TRUE
"CAP","HighIL6_M","IL_1RA","KP","M",2.29636920137299e-09,TRUE
"CAP","HighIL6_M","IL_1RA","PP","M",4.60919672294078e-07,TRUE
"CAP","HighIL6_M","IL_1RA","KP","LPS",1,FALSE
"CAP","HighIL6_M","IL_1RA","PP","LPS",1,FALSE
"CAP","HighIL6_M","IL_1RA","PP","KP",0.806450488504562,FALSE
"CAP","HighIL6_M","CCL2","LPS","M",1,FALSE
"CAP","HighIL6_M","CCL2","KP","M",3.15462975251086e-07,TRUE
"CAP","HighIL6_M","CCL2","PP","M",1,FALSE
"CAP","HighIL6_M","CCL2","KP","LPS",5.2491892570121e-05,TRUE
"CAP","HighIL6_M","CCL2","PP","LPS",0.673107933040614,FALSE
"CAP","HighIL6_M","CCL2","PP","KP",6.26392677181124e-07,TRUE
"CAP","HighIL6_M","CCL4","LPS","M",2.6778963144039e-16,TRUE
"CAP","HighIL6_M","CCL4","KP","M",1.70591222445426e-15,TRUE
"CAP","HighIL6_M","CCL4","PP","M",1.1508465347684e-13,TRUE
"CAP","HighIL6_M","CCL4","KP","LPS",1,FALSE
"CAP","HighIL6_M","CCL4","PP","LPS",1,FALSE
"CAP","HighIL6_M","CCL4","PP","KP",1,FALSE
"CAP","HighIL6_M","TNF","LPS","M",6.55770167629936e-06,TRUE
"CAP","HighIL6_M","TNF","KP","M",4.64874245643553e-11,TRUE
"CAP","HighIL6_M","TNF","PP","M",6.59389032677366e-12,TRUE
"CAP","HighIL6_M","TNF","KP","LPS",5.11439810721246e-08,TRUE
"CAP","HighIL6_M","TNF","PP","LPS",4.06132108431769e-11,TRUE
"CAP","HighIL6_M","TNF","PP","KP",0.470978401953017,FALSE
"CAP","HighIL6_M","IL_6","LPS","M",1.40078601776307e-22,TRUE
"CAP","HighIL6_M","IL_6","KP","M",7.74361907509286e-24,TRUE
"CAP","HighIL6_M","IL_6","PP","M",2.66897876461177e-13,TRUE
"CAP","HighIL6_M","IL_6","KP","LPS",1,FALSE
"CAP","HighIL6_M","IL_6","PP","LPS",0.0461319647686097,TRUE
"CAP","HighIL6_M","IL_6","PP","KP",0.00432552254051394,TRUE
"CAP","HighIL6_M","IL_10","LPS","M",1.7914325710559e-12,TRUE
"CAP","HighIL6_M","IL_10","KP","M",1.0464599684036e-18,TRUE
"CAP","HighIL6_M","IL_10","PP","M",5.5968124797032e-12,TRUE
"CAP","HighIL6_M","IL_10","KP","LPS",0.00459084497713133,TRUE
"CAP","HighIL6_M","IL_10","PP","LPS",0.0669039390922098,FALSE
"CAP","HighIL6_M","IL_10","PP","KP",2.79978582808915e-06,TRUE
"HV","LowIL6_M","IL_8_1","LPS","M",1.51765462437425e-14,TRUE
"HV","LowIL6_M","IL_8_1","KP","M",7.0815603009214e-20,TRUE
"HV","LowIL6_M","IL_8_1","PP","M",1.20070537832345e-21,TRUE
"HV","LowIL6_M","IL_8_1","KP","LPS",1,FALSE
"HV","LowIL6_M","IL_8_1","PP","LPS",0.000560324518642648,TRUE
"HV","LowIL6_M","IL_8_1","PP","KP",0.00210196181501045,TRUE
"HV","LowIL6_M","IL_1beta","LPS","M",5.23895815876289e-18,TRUE
"HV","LowIL6_M","IL_1beta","KP","M",4.25943204404148e-21,TRUE
"HV","LowIL6_M","IL_1beta","PP","M",2.25243581021699e-22,TRUE
"HV","LowIL6_M","IL_1beta","KP","LPS",1.28196714155639e-08,TRUE
"HV","LowIL6_M","IL_1beta","PP","LPS",0.0933929776385218,FALSE
"HV","LowIL6_M","IL_1beta","PP","KP",0.000121482108930202,TRUE
"HV","LowIL6_M","CCL3","LPS","M",7.82691913231564e-17,TRUE
"HV","LowIL6_M","CCL3","KP","M",4.25995090264914e-21,TRUE
"HV","LowIL6_M","CCL3","PP","M",2.25272729286902e-22,TRUE
"HV","LowIL6_M","CCL3","KP","LPS",0.111066282445085,FALSE
"HV","LowIL6_M","CCL3","PP","LPS",1,FALSE
"HV","LowIL6_M","CCL3","PP","KP",0.113125244757439,FALSE
"HV","LowIL6_M","IL_1RA","LPS","M",4.29236211544871e-18,TRUE
"HV","LowIL6_M","IL_1RA","KP","M",3.7133751099971e-19,TRUE
"HV","LowIL6_M","IL_1RA","PP","M",4.80990331157712e-20,TRUE
"HV","LowIL6_M","IL_1RA","KP","LPS",0.135599657679344,FALSE
"HV","LowIL6_M","IL_1RA","PP","LPS",1,FALSE
"HV","LowIL6_M","IL_1RA","PP","KP",1,FALSE
"HV","LowIL6_M","CCL2","LPS","M",3.03243974680182e-05,TRUE
"HV","LowIL6_M","CCL2","KP","M",0.169551128522079,FALSE
"HV","LowIL6_M","CCL2","PP","M",3.28006087184009e-08,TRUE
"HV","LowIL6_M","CCL2","KP","LPS",4.63844328838392e-12,TRUE
"HV","LowIL6_M","CCL2","PP","LPS",0.737216358852054,FALSE
"HV","LowIL6_M","CCL2","PP","KP",2.1220424231417e-15,TRUE
"HV","LowIL6_M","CCL4","LPS","M",1.73410144936177e-18,TRUE
"HV","LowIL6_M","CCL4","KP","M",3.12718864437538e-21,TRUE
"HV","LowIL6_M","CCL4","PP","M",2.25476868544947e-22,TRUE
"HV","LowIL6_M","CCL4","KP","LPS",1,FALSE
