"","Sample","Sample.ID","Plate","qns","RIN","RNAseq","ID"
"77","qns31079_240","EB_2.0 NL57847.018.16 1113_DAY 0","qns31079_plate_3","qns31079",7.1,1,"1113"
"78","qns31079_241","EB_2.0 NL57847.018.16 1114_d0","qns31079_plate_3","qns31079",6.3,1,"1114"
"79","qns31079_242","EB_2.0 NL57847.018.16 1115_d0","qns31079_plate_3","qns31079",6,1,"1115"
"80","qns31079_243","EB_2.0 NL57847.018.16 1116_d0","qns31079_plate_3","qns31079",5.7,1,"1116"
"81","qns31079_244","EB_2.0 NL57847.018.16 1118_d0","qns31079_plate_3","qns31079",6.2,1,"1118"
"82","qns31079_245","EB_2.0 NL57847.018.16 1119_d0","qns31079_plate_3","qns31079",6.3,1,"1119"
"83","qns31079_246","EB_2.0 NL57847.018.16 1120_d0","qns31079_plate_3","qns31079",6.1,1,"1120"
"84","qns31079_247","EB_3.0 NL57847.018.16 1167_D0","qns31079_plate_3","qns31079",6.8,1,"1167"
"85","qns31079_250","EB_3.0 NL57847.018.16 1220_D0","qns31079_plate_3","qns31079",6.8,1,"1220"
"86","qns31079_251","EB_3.0 NL57847.018.16 1221_D0","qns31079_plate_3","qns31079",5.8,1,"1221"
"87","qns31079_252","EB_3.0 NL57847.018.16 1231_D0","qns31079_plate_3","qns31079",6.9,1,"1231"
"88","qns31079_254","EB_3.0 NL57847.018.16 1233_D0","qns31079_plate_3","qns31079",6.4,1,"1233"
"89","qns31079_256","EB_3.0 NL57847.018.16 1235_D0","qns31079_plate_3","qns31079",6.7,1,"1235"
"90","qns31079_257","EB_3.0 NL57847.018.16 1236_D0","qns31079_plate_3","qns31079",6.4,1,"1236"
"91","qns31079_258","EB_3.0 NL57847.018.16 1237_D0","qns31079_plate_3","qns31079",6.4,1,"1237"
"92","qns31079_259","EB_3.0 NL57847.018.16 1238_D0","qns31079_plate_3","qns31079",5.3,1,"1238"
"93","qns31079_260","EB_3.0 NL57847.018.16 1239_D0","qns31079_plate_3","qns31079",6.7,1,"1239"
"94","qns31079_261","EB_3.0 NL57847.018.16 1240_D0","qns31079_plate_3","qns31079",6.3,1,"1240"
"95","qns31079_262","EB_3.0 NL57847.018.16 1241_D0","qns31079_plate_3","qns31079",6.9,1,"1241"
"96","qns31079_263","EB_3.0 NL57847.018.16 1242_D0","qns31079_plate_3","qns31079",6.7,1,"1242"
"97","qns31079_264","EB_3.0 NL57847.018.16 1243_D0","qns31079_plate_3","qns31079",6.6,1,"1243"
"98","qns31079_265","EB_3.0 NL57847.018.16 1244_D0","qns31079_plate_3","qns31079",6.4,1,"1244"
"99","qns31079_266","EB_3.0 NL57847.018.16 1245_D0","qns31079_plate_3","qns31079",6.4,1,"1245"
"100","qns31079_267","EB_3.0 NL57847.018.16 1246_D0","qns31079_plate_3","qns31079",6.6,1,"1246"
"101","qns31079_268","EB_3.0 NL57847.018.16 1247_D0","qns31079_plate_3","qns31079",6.7,1,"1247"
"102","qns31079_269","EB_3.0 NL57847.018.16 1248_D0","qns31079_plate_3","qns31079",6.9,1,"1248"
"103","qns31079_273","EB NL57847.018.21 3005_d0","qns31079_plate_3","qns31079",6.3,1,"3005"
"104","qns31079_274","EB NL57847.018.21 3006_d0","qns31079_plate_3","qns31079",6.6,1,"3006"
"105","qns31079_275","EB NL57847.018.21 3007_d0","qns31079_plate_3","qns31079",6.2,1,"3007"
"106","qns31079_276","EB NL57847.018.21 3008_d0","qns31079_plate_3","qns31079",6.2,1,"3008"
"107","qns31079_277","EB NL57847.018.21 3009_d0","qns31079_plate_3","qns31079",6.5,1,"3009"
"108","qns31079_278","EB NL57847.018.21 3010_d0","qns31079_plate_3","qns31079",5.8,1,"3010"
"109","qns31079_279","EB NL57847.018.21 3011_d0","qns31079_plate_3","qns31079",6.1,1,"3011"
"110","qns31079_280","EB NL57847.018.21 3012_d0","qns31079_plate_3","qns31079",6.8,1,"3012"
"111","qns31079_281","EB NL57847.018.21 3013_d0","qns31079_plate_3","qns31079",6.6,1,"3013"
"112","qns31079_282","EB NL57847.018.21 3014_d0","qns31079_plate_3","qns31079",6.6,1,"3014"
"113","qns31079_283","EB NL57847.018.21 3015_d0","qns31079_plate_3","qns31079",6.3,1,"3015"
"114","qns31079_284","EB NL57847.018.21 3016_d0","qns31079_plate_3","qns31079",5.5,1,"3016"
"115","qns31079_285","EB NL57847.018.21 3018_d0","qns31079_plate_3","qns31079",5.2,1,"3018"
"116","qns31079_286","EB NL57847.018.21 3019_d0","qns31079_plate_4","qns31079",6,1,"3019"
"117","qns31079_287","EB NL57847.018.21 3020_d0","qns31079_plate_4","qns31079",6.2,1,"3020"
"118","qns31079_288","EB NL57847.018.21 3022_d0","qns31079_plate_4","qns31079",5.8,1,"3022"
"119","qns31079_289","EB NL57847.018.21 3023_d0","qns31079_plate_4","qns31079",6.2,1,"3023"
"120","qns31079_291","EB NL57847.018.21 3025_d0","qns31079_plate_4","qns31079",6,1,"3025"
"121","qns31079_292","EB NL57847.018.21 3026_d0","qns31079_plate_4","qns31079",5.4,1,"3026"
"122","qns31079_293","EB NL57847.018.21 3027_d0","qns31079_plate_4","qns31079",6.4,1,"3027"
"123","qns31079_294","EB NL57847.018.21 3028_d0","qns31079_plate_4","qns31079",5.8,1,"3028"
"124","qns31079_295","EB NL57847.018.21 3029_d0","qns31079_plate_4","qns31079",6.2,1,"3029"
"125","qns31079_296","EB NL57847.018.21 3030_d0","qns31079_plate_4","qns31079",5.8,1,"3030"
"126","qns31079_297","EB NL57847.018.21 3031_d0","qns31079_plate_4","qns31079",5,1,"3031"
"127","qns31079_298","EB NL57847.018.21 3032_d0","qns31079_plate_4","qns31079",5.6,1,"3032"
"128","qns31079_299","EB_2.0 NL57847.018.16 3033_d0","qns31079_plate_4","qns31079",6,1,"3033"
"129","qns31079_303","EB_2.0 NL57847.018.16 3040_d0","qns31079_plate_4","qns31079",5.1,1,"3040"
"130","qns31079_304","EB_2.0 NL57847.018.16 3041_d0","qns31079_plate_4","qns31079",6.1,1,"3041"
"131","qns31079_305","EB_2.0 NL57847.018.16 3042_d0","qns31079_plate_4","qns31079",5.1,1,"3042"
"132","qns31079_306","EB_2.0 NL57847.018.16 3043_d0","qns31079_plate_4","qns31079",5.2,1,"3043"
"133","qns31079_307","EB_2.0 NL57847.018.16 3044_d0","qns31079_plate_4","qns31079",5.9,1,"3044"
"134","qns31079_308","EB_2.0 NL57847.018.16 3045_d0","qns31079_plate_4","qns31079",5.5,1,"3045"
"135","qns31079_309","EB_2.0 NL57847.018.16 3046_d0","qns31079_plate_4","qns31079",5.9,1,"3046"
"136","qns31079_311","EB_2.0 NL57847.018.16 3048_d0","qns31079_plate_4","qns31079",5.7,1,"3048"
"137","qns31079_312","EB_2.0 NL57847.018.16 3049_d0","qns31079_plate_4","qns31079",5.9,1,"3049"
"138","qns31079_313","EB_2.0 NL57847.018.16 3052_d0","qns31079_plate_4","qns31079",6.7,1,"3052"
"139","qns31079_314","EB_3.0 NL57847.018.16 3073_D0","qns31079_plate_4","qns31079",5.5,1,"3073"
"140","qns31079_315","EB_3.0 NL57847.018.16 3112_D0","qns31079_plate_4","qns31079",5.5,1,"3112"
"141","qns31079_317","EB_3.0 NL57847.018.16 3140_D0","qns31079_plate_4","qns31079",6.2,1,"3140"
"142","qns31079_318","EB_3.0 NL57847.018.16 3176_D0","qns31079_plate_4","qns31079",5.3,1,"3176"
"143","qns31079_319","EB_3.0 NL57847.018.16 3188_D0","qns31079_plate_4","qns31079",5.5,1,"3188"
"144","qns31079_320","EB_3.0 NL57847.018.16 3191_D0","qns31079_plate_4","qns31079",6.2,1,"3191"
"145","qns31079_321","EB_3.0 NL57847.018.16 3223_D0","qns31079_plate_4","qns31079",5.4,1,"3223"
"146","qns31079_322","EB_3.0 NL57847.018.16 3249_D0","qns31079_plate_4","qns31079",6,1,"3249"
"147","qns31079_323","EB_3.0 NL57847.018.16 3255_D0","qns31079_plate_4","qns31079",5.8,1,"3255"
"148","qns31079_324","EB_3.0 NL57847.018.16 3260_D0","qns31079_plate_4","qns31079",5.3,1,"3260"
"149","qns31079_326","EB_3.0 NL57847.018.16 3273_D0","qns31079_plate_4","qns31079",5.7,1,"3273"
"150","qns31079_327","EB_3.0 NL57847.018.16 3274_D0","qns31079_plate_4","qns31079",6.1,1,"3274"
"151","qns31079_328","EB_3.0 NL57847.018.16 3275_D0","qns31079_plate_4","qns31079",4.9,1,"3275"
"152","qns31079_329","EB_3.0 NL57847.018.16 3292_D0","qns31079_plate_4","qns31079",5,1,"3292"
"153","qns31079_330","EB_3.0 NL57847.018.16 3293_D0","qns31079_plate_4","qns31079",4.4,1,"3293"
"154","qns31079_331","EB_3.0 NL57847.018.16 3294_D0","qns31079_plate_4","qns31079",5,1,"3294"
"155","qns31079_332","EB_3.0 NL57847.018.16 3295_D0","qns31079_plate_4","qns31079",6.4,1,"3295"
"156","qns31079_333","EB_3.0 NL57847.018.16 3298_D0","qns31079_plate_4","qns31079",6.5,1,"3298"
