gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
BIK	18.83	26.56	48.27	9.31	36.05	211.81	12.79	31.98	27.74	23.33	17.74	15.02	60.3	97.28	41.42	21.2
PCDHB1	19.81	29.74	32.04	49.01	35.79	96.67	24.49	12.29	17.36	23.24	40.38	10.1	210.27	21.78	60.4	14.86
SOX13	208.61	41.11	48.78	25.53	28.94	9.02	71.77	84.95	31.77	20.9	36.05	23.08	15.02	19.58	9.02	17.55
SERPINB9	25.72	28.52	210.55	9.31	23.02	96.88	18.96	17.95	32.25	37.29	61.92	15.02	48.68	12.79	21.02	39.78
ADAM10	19.11	17.16	48.24	9.31	25.36	204.57	23.22	12.79	41.72	36.05	103.39	15.33	61.23	21.2	28.85	32.16
BOK	49.2	28.82	60.12	12.86	32.05	95.38	212.02	40.88	21.2	19.3	17.42	25.48	36.68	14.95	9.02	23.15
MED14OS	15.44	12.76	29.26	9.47	36.49	21.38	22.81	16.98	25.62	212.02	97.29	19.32	38.28	34.08	51.04	57.39
ATP8B1	31.34	36.12	23.19	97.29	60.15	9.02	25.71	15.05	12.87	21.21	29.25	19.16	212.01	41.44	48.25	17.46
LUADT1	28.42	92.12	32.33	23.47	36.06	9.02	25.91	64.86	21.26	19.3	48.09	17.31	211.99	41.49	9.02	15
AC073115.7	60.31	41.11	9.02	28.63	36.04	9.02	48.68	9.02	9.02	9.02	25.47	23.07	211.92	97.27	9.02	31.81
LINC00886	12.7	9.58	97.14	36.45	41.47	208.41	25.72	21.36	29.57	48.11	31.19	17.24	15.13	19.76	60.37	23.02
IGLC2	15.08	12.79	41.06	60.31	97.29	211.77	17.33	19.69	23.82	31.97	29.03	9.31	36.09	48.68	21.14	24.25
L1TD1	19.22	59.66	9.02	49.1	29.44	9.02	30.6	23.77	38.34	25.61	212.02	21.43	97.28	17.44	9.02	38.89
ADCK5	23.45	19.55	210.51	23.59	17.27	97.84	12.89	22.51	28.78	35.89	41.45	9.47	59.97	32.31	49.03	14.83
PMP22	19.33	25.46	41.06	9.02	9.02	47.41	9.02	9.02	28.93	36.27	32.17	23.19	60.3	102.12	206.79	21.26
RHBDF2	23.22	12.92	48.67	20.58	60.31	211.73	25.5	9.31	41.11	32.27	97.29	19.55	14.9	17.64	28.75	35.9
U91328.19	17.41	21.76	203.14	15.06	60.06	9.02	24.66	43.11	19.21	32.22	45.95	12.79	36.8	29.65	104.77	23.5
ZNF677	21.2	23.22	63.57	30.91	29.92	208.2	40.94	36.49	12.79	15.09	19.27	9.31	48.42	25.67	95.9	17.24
PGS1	18.82	23.22	211.99	20.8	36.2	41.48	12.95	14.92	29.03	31.97	48.12	9.31	96.14	18.09	61.06	25.6
STON1	22.2	51.91	211.77	12.99	19.39	9.02	28.89	17.51	32.23	40.29	92.69	21.95	61.04	14.95	25.51	36.34
ANKZF1	36.1	28.18	199.99	21.32	59.43	104.33	41.06	17.17	15.23	19.09	32.03	9.31	26.18	23.07	49.49	12.92
UST	23.25	25.4	102.84	19.15	42.08	9.02	32.07	50.3	21.29	17.48	60.59	12.92	36.03	203.37	28.65	14.96
CTD-2619J13.14	32.49	38.04	58.95	21.48	48.68	9.02	17.3	14.92	25.5	39.76	97.29	19.43	211.95	23.46	9.02	28.34
CHRNA10	19.36	59.54	208.44	32.51	9.02	9.02	21.08	23.17	41.34	35.67	29.18	25.39	100.47	17.5	48.39	14.97
KANSL1L	15.44	48.46	12.7	21.46	28.05	206.62	33.87	41	17.89	34.22	60.31	9.42	100.56	23.26	24.88	18.89
SCN3A	25.24	17.42	9.02	97.29	60.3	210.38	32.21	9.02	23.44	19.2	28.68	21.35	48.66	41.1	9.02	35.64
GNAL	48.85	29.06	64.72	15.35	21.12	35.97	210.09	40.6	19.41	23.37	32.14	12.89	94.49	25.34	9.02	16.98
UBXN11	21.2	23.22	49.46	19.24	25.51	211.7	17.33	9.31	33.95	60.12	96.7	28.73	34.25	12.9	14.9	41.11
TRPV3	28.49	25.99	32.35	23.34	40.62	9.02	36.07	21.08	19.29	17.19	48.74	12.86	113.27	60.02	156.21	15.23
CLK2	18.17	24.79	100.83	9.57	26.66	206.44	18.84	12.54	60.78	48.38	41.23	20.81	32.12	15.08	35.38	26.65
B3GNT7	32.16	25.4	41.2	22.34	36.19	21.94	48.43	95.72	12.62	19.29	15.77	16.62	61.86	28.72	211.62	9.57
