gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
SPIN4	34.99	21.23	211.93	15.5	33.3	94.97	50.1	60.28	25.5	23.56	41.22	17.37	28.3	12.79	9.02	18.79
MIER1	23.75	19.27	212	12.79	21.59	97.09	25.57	15.23	28.96	36.81	49.01	9.31	59.97	17.09	40.31	30.94
IGHG4	21.47	19.14	59.23	29.23	97.29	211.27	23.38	12.06	17.43	41.7	36.25	15	9.64	24.82	48.82	31.8
ZNF385D	25.87	28.51	48.93	20.9	14.93	9.02	19.33	23.36	41.33	96.12	60.7	36.02	211.92	17.53	9.02	32.11
DDX47	19.07	23.22	60.72	18.2	32.16	103.36	15.18	36.2	20.34	26.76	27.51	9.37	203.44	41.76	45.19	12.74
ZBTB10	12.96	14.89	41.54	29.06	23.83	48.09	24.77	32.64	17.45	35.55	20.31	9.31	59.93	206.57	102.05	20.13
CTA-221G9.11	36.68	32.79	95.34	49	20.5	9.02	28.38	23.47	25.52	15.96	40.09	19.94	211.97	60.74	9.02	16.6
P3H2	17.24	32.17	9.02	28.72	9.02	47.7	9.02	41.21	24.22	21.51	36	24.48	60.29	98.87	210.21	19.2
KIF17	19.35	9.02	31.84	9.02	35.73	49.05	25.41	41.1	17.32	23.36	21.29	15.23	96.61	212.01	60.1	28.81
NPIPB4	21.75	17.68	109.19	36.21	183.44	69.63	15.06	19.59	9.31	29.21	32.47	12.83	48.15	24.67	41.01	22.92
CRAT37	17.39	38.2	96.61	12.83	33.31	9.02	21.14	15.08	23.98	60.47	48.77	25.53	210.55	19.86	38.61	27.97
ALAS2	9.02	40.96	208.62	60.04	9.02	9.02	9.02	9.02	9.02	9.02	48.42	35.94	9.02	98.82	9.02	9.02
PAPLN	17.42	25.22	9.02	20.58	41.01	9.02	23.49	32.05	19.76	29.03	36.28	15.06	61.88	212.01	95.31	48.31
TBC1D4	19.33	41.11	97.26	12.78	15.06	24.18	9.42	23.46	21.32	36.05	28.68	17.33	60.15	212.01	48.76	32.16
CDT1	41.16	21.26	212.01	28.71	26.13	97	35.58	13.3	17.1	19.41	31.91	9.31	60.3	23.27	48.12	14.79
RP11-112J3.16	32.37	23.25	207.86	47.7	41.53	9.02	25.53	60.08	14.26	13.55	17.33	21.06	37.81	28.94	99.46	19.36
FBXL19-AS1	60.06	20.46	93.36	23.51	17.45	9.02	28.79	9.02	49.48	25.9	210.28	20.13	33.17	41.14	9.02	35.78
PPOX	24.18	24.6	97.27	15.02	30.06	211.04	38.67	30.81	12.79	17.3	20.43	9.31	48.68	38.31	60.19	20.03
NBPF1	22.84	16.71	36.71	15.67	49.26	19.5	24.95	9.31	28.93	32.21	96.85	12.96	60.08	21.42	211.07	40.31
IGSF6	13.06	19.18	23.25	9.36	21.23	25.16	17.39	14.71	36.05	48.68	96.83	32.16	212.01	28.88	60.74	41.11
STXBP5-AS1	36.03	23.13	18.99	25.52	94.73	9.02	17.23	50.14	29.7	41.55	31.29	15.47	211.98	21.12	9.02	60.74
GAN	51.31	40.02	208.76	17.37	31.8	99.99	37	25.32	19.09	23.08	57.67	9.37	29.33	21.35	15.04	12.86
MAFK	19.24	17.12	58.09	9.85	25.46	210.75	21.2	12.42	97.29	49.42	35.6	23.25	32.85	28.75	15.01	42.3
KIAA0895L	17.39	18.94	61.38	13	21.47	207.83	14.9	9.46	41.22	29.69	35.4	23	48.57	25.31	97.97	31.99
HPGDS	25.38	28.92	98	23.13	9.02	199.87	40.81	32.16	9.02	36.08	21.14	9.02	61.92	49.01	9.02	9.02
POTEE	17.6	26.63	41.43	9.36	12.74	206.25	15.05	35.94	32.39	27.04	49.01	23.71	98.87	19.28	60.11	20.97
RP11-783K16.14	13.06	40.81	29.99	23.43	36.3	78.48	25.31	9.41	15.23	21.31	31.01	17.34	56.33	56.2	208.86	19.02
CTD-3065J16.9	24.3	40.4	32.81	18.73	28.86	205.89	13.06	17.6	23.26	35.67	49.37	15.3	97.37	61.76	9.02	22.79
AC145124.2	32.33	212.02	48.86	23.29	55.18	9.02	16.18	28.79	21.25	46.83	92.49	19.24	16.45	39.43	9.02	25.33
ZNF646	28.66	21.99	98.76	15.15	24.69	208.38	22.97	9.31	60.01	48.45	41.44	17.3	36.12	12.86	19.37	32.27
LRRC74B	22.78	17.56	207.5	9.74	28.57	31.6	36.19	21.56	19.4	15.22	41.17	12.61	96.05	48.83	65.41	25.24
DNAJC8	23.22	19.27	212.01	12.89	25.36	95.87	28.92	32.19	14.92	21.2	35.96	9.31	61.09	41.11	49.15	17.3
RP11-848P1.4	20.85	41.4	57.01	31.68	28.61	9.02	17.19	20.61	25.86	22.64	51.07	15.3	211.97	96.81	36.18	12.83
ACYP2	19.38	15.02	60.86	12.79	32.55	211.51	25.22	23.21	17.3	28.88	35.66	9.31	41.11	48.68	96.64	21.23
IDO1	19.79	23.91	95.44	15.09	20.41	9.02	17.25	41.2	24.96	32.12	36	28.67	212.01	59.6	50.97	12.92
MMP9	40.71	25.47	35.94	9.02	9.02	9.02	32.36	9.02	95.77	212.01	28.87	48.7	9.02	9.02	9.02	61.68
RP11-177F15.1	21.46	28.97	63.65	17.36	40.5	35.88	23.11	32.11	12.86	19.27	49.34	9.37	205.11	25.65	99.66	15.02
CCL22	9.02	41.49	9.02	9.02	9.02	9.02	9.02	9.02	9.02	9.02	97.96	35.94	60.89	9.02	206.52	48.76
TRIM2	17.24	49.34	9.02	31.49	94.45	9.02	21.38	22.68	36.11	41.05	25.78	29.12	211.94	19.13	9.02	62.48
FUT7	14.46	28.93	36.14	9.31	31.87	59.33	19.27	41.3	23.93	21.23	13.38	17.28	49.04	97.29	211.97	24.85
ZNF836	28.09	35.52	211.97	13.15	32.4	59.78	48.74	96.68	18.17	21.38	17.02	9.31	40.68	23.25	26.9	16.29
NUDT17	19.38	31.55	41.33	25.48	29.14	210.76	14.99	12.64	22.97	17.45	36.05	9.52	48.43	97.29	60.06	21.39
FAM118A	21.09	23.19	95.57	17.18	28.58	61.26	15.05	9.31	19.43	31.88	48.72	12.89	41.22	36.04	211.8	25.92
TNFRSF12A	19.27	21.25	31.94	9.58	23.27	25.41	28.93	35.89	15.23	48.64	60.81	17.48	212.01	12.7	95.18	41.35
BCL11A	9.31	18.07	21.23	41.11	48.68	35.92	12.79	23.18	15.12	25.63	29.25	18.42	194.66	114.58	60.27	31.49
CXCL8	23.2	21.27	48.42	19.37	28.77	36.09	25.51	9.02	60.31	212.02	40.74	32.21	15.09	17.29	9.02	97.29
RP11-835E18.5	21.54	49.68	211.68	15.15	94.24	9.02	27.87	35.96	23.81	19.2	41.03	17.46	62	25.99	9.02	31.88
HVCN1	12.79	9.31	42.48	97.29	212.02	29.32	15.02	35.53	19.29	25.46	58.46	17.3	23.19	32.43	48.7	21.21
PRRT2	24.11	60.8	211.82	19.58	31.38	9.02	41.63	36.5	21.53	12.99	24.65	17.34	47.95	14.92	95.18	29.11
TPM2	22.88	32.21	36.01	9.31	17.32	48.52	25.34	41.02	12.79	15.09	28.93	19.24	60.3	212.02	97.2	21.51
SH2D3C	19.24	14.99	58.85	9.47	31.62	211.24	21.2	17.33	25.36	23.22	97.29	12.67	43.16	36.05	47.77	29.41
PF4	35.69	23.14	25.38	21.34	48.73	96.15	28.95	9.02	41.01	32.36	60.63	18.9	15.09	17.69	9.02	212.02
BIRC5	28.53	15.26	208.88	9.37	35.82	100.23	21.22	17.37	48.68	32.03	25.23	12.93	60.3	23.86	40.37	19.4
GALNT9	32.43	40.98	54.44	37.33	92.69	9.02	21.29	26.47	17.42	23.11	27.62	15.06	206.46	19.53	59.54	12.77
ITGAX	15.02	17.3	28.16	12.79	23.2	93.24	21.16	19.32	51.2	61.38	212.02	32.1	35.98	9.31	26.17	41.22
GAS6	12.6	19.27	33.46	9.51	17.27	97.08	15.06	25.26	36.95	38.58	29.02	21.2	48.68	60.3	211.96	23.4
SLC30A4	36.43	28.91	25.39	96.84	60.6	210.77	48.82	32.07	12.83	19.22	23.19	15.02	40.72	17.36	9.02	21.18
HOMEZ	19.27	15.19	100.47	12.49	30.24	207.19	22.97	17.13	36.01	25.48	41.19	9.62	59.82	21.52	49	30.63
PRPF6	15.08	17.25	97.28	12.79	32.84	211.57	19.27	25.46	21.2	35.25	41.11	9.31	48.68	28.86	60.26	23.22
SRGAP2C	19.19	17.38	75.69	12.79	23.22	79.23	15.02	9.31	32.12	36.05	41.22	21.2	53.05	25.36	206.79	28.92
ICOSLG	12.85	23.15	25.22	82.89	49.17	207.64	18.28	14.96	18.4	36.57	32.11	21.27	76.4	40.58	9.02	28.92
AC144450.2	97.29	36.87	9.02	21.22	19.14	9.02	25.37	9.02	23.41	32.2	42.21	29.11	211.95	49.42	9.02	57.06
AGAP9	21.05	9.02	48.78	28.88	41.24	207.19	100.55	59.94	19.14	9.02	23.19	9.02	32.15	36.12	9.02	25.36
CYB561A3	15.12	12.79	36.41	32.16	49.08	59.18	17.21	23.19	19.29	25.36	28.88	9.31	41.22	97.29	211.98	21.21
SYNPO2L	19.11	32.25	25.97	27.83	20.73	102.67	35.97	23.95	12.72	15.72	48.66	9.41	204.35	41.38	61.02	17.46
RP11-473M20.16	210.41	94.48	49.68	12.83	25.46	9.02	62.33	34.37	17.31	19.87	22.89	15.16	41.45	21.42	33.56	28.54
IGHA1	15.12	12.79	49.18	40.91	97.29	211.9	17.21	20.59	25.34	23.13	31.39	9.31	29.64	36.14	59.73	20.04
ARF4	17.3	15.02	97.28	12.79	21.34	211.82	19.27	25.52	28.72	32.16	36.05	9.31	48.47	60.3	41.29	23.08
CRIP1	17.1	23.15	97.29	9.31	41.11	211.82	12.79	15.33	25.87	35.69	48.68	21.27	32.51	19.17	60.27	28.37
CD276	41.21	50.41	35.78	64.87	9.02	9.02	93.13	31.28	19.36	26.83	28.06	23.31	209.38	21.15	9.02	17.36
UHRF1	13.05	21.08	211.99	9.31	17.74	96.77	23.46	31.98	36.05	28.89	18.5	15.43	60.15	48.82	40.96	25.04
CCL2	32.12	28.96	96.18	9.02	23.06	9.02	25.27	9.02	61.33	212.02	41.4	48.39	21.07	9.02	9.02	35.99
TRIP13	17.52	14.65	97.28	21.76	35.15	211.02	19.18	13.25	25.88	22.77	33.34	9.42	60.29	48.58	38.74	28.25
RP11-51J9.5	32.37	96.7	60.89	12.43	17.35	211.56	25.36	15.03	28.88	48.36	41.37	22.81	21.49	19.3	9.69	35.9
ZBTB20-AS2	37.38	47.64	9.02	39.68	96.28	9.02	25.36	29.24	15.13	22.7	33.33	19.27	60.84	21.72	210.8	17.19
IFNL1	48.68	36.04	32.34	15.33	12.98	25.42	61.36	96.23	9.68	20.77	17.5	19.3	212.01	28.41	40.77	22.76
MAP2K4	19.3	17.23	211.98	9.31	28.81	94.24	23.25	15.08	50.28	34.09	41.07	12.83	59.67	21.23	34.56	25.73
TPSB2	9.02	9.02	9.02	9.02	9.02	9.02	9.02	9.02	9.02	9.02	9.02	9.02	208.66	9.02	9.02	9.02
C2orf88	25.45	19.06	35.6	32.21	41.11	211.76	21.04	15.28	12.93	17.41	23.35	9.42	28.76	48.68	60.11	97.29
RP11-319G6.1	18.49	21.01	18.09	31.31	14.88	206.5	23.96	13.03	36.64	48.85	60.81	29.41	97.43	24.87	9.02	40.51
NFATC2IP	24.74	16.84	104.27	12.79	28.88	204.22	23.83	15.48	19.29	32.16	36.11	9.31	41.04	48.86	60.08	21.18
CXCL10	21.32	19.13	46.91	17.46	32.11	59.34	28.71	14.98	36.19	97.29	212.02	25.39	23.44	12.77	9.02	42.64
RP11-351D16.3	13	17.4	49.98	19.03	22.79	208.74	35.08	15.77	41.34	29.63	59.17	20.79	96.59	26.16	9.02	31.81
RHBDL2	23.16	58.12	9.02	26.39	40.95	9.02	94.46	35.84	17.51	28.07	32.24	20.72	211.92	53.48	9.02	19.71
MIR4432HG	28.77	9.02	9.02	41.22	48.85	9.02	9.02	36.02	19.23	23.07	21.11	31.81	60	97.29	211.87	25.32
LILRA4	9.31	15.86	31.76	16.48	29.27	48.42	12.79	36.04	25.36	19.33	41.22	21.24	60.3	97.29	211.98	23.1
CRIPT	19.27	15.02	97.28	12.79	28.79	211.59	21.25	17.3	25.45	32.16	36.32	9.31	48.5	41.01	60.26	23.17
MS4A1	29.19	25.27	48.67	96.7	212.02	60.69	21.2	17.3	23.31	41.04	35.92	19.27	9.36	14.95	12.75	32.03
RP11-401P9.5	19.49	29.17	9.02	17.33	52.65	205.89	21.09	14.96	23.19	32.3	40.49	25.51	97.42	37.07	9.02	56.33
CSNK1E	21.44	19.29	47.95	32.16	41.68	211.56	28.03	23.35	17.26	25.76	12.79	9.31	60.3	97.29	36.15	15.11
RP1-102E24.10	21.06	61.2	209.58	17.26	19.72	97.04	34.63	24.45	32.84	41.22	49	25.44	15.16	28.07	9.02	12.9
SLC6A4	48.64	31.15	29.48	23.67	17.54	9.02	36.72	18.93	21.34	25.4	95.2	15.09	211.92	61.07	9.02	41.18
ACP6	41.11	48.68	97.25	21.55	29.02	210.43	35.65	9.31	15.13	19.45	32.41	12.83	60.3	25.15	22.27	17.38
FGFR1	38.88	32.62	210.21	17.16	38.19	98.52	59.67	9.47	21.16	25.88	28.31	12.76	48.88	15.19	19.14	23.19
AFF3	9.37	19.25	36.04	64.75	210.58	31.89	12.78	28.92	16.87	25.41	21.29	15.44	41.11	48.68	94.14	23.12
C5orf66	20.08	21.21	61.7	17.01	48.33	210.43	14.99	10.1	23.14	29.07	41.55	12.36	95.57	34.99	32.57	24.91
CTD-2162K18.3	29.03	36.67	89.73	17.38	26.22	9.02	31.04	62.91	19.33	21.34	49.79	15.02	212	40.89	9.02	23.26
AC005523.2	17.71	18.36	31.92	21.02	27.71	100.36	15.79	9.88	23.39	37.25	58.52	39.87	206.54	12.91	26.51	51.44
RP11-573D15.8	29.01	47.58	209.68	20.15	93.57	9.02	65.77	42.23	20.55	22.99	36.21	15.09	32.04	25.41	9.02	17.29
MIR155HG	32.16	23.22	210.37	28.88	48.55	98.59	25.36	19.47	13.12	17.78	20.3	9.31	36.33	60.3	40.88	14.91
MATK	48.68	41.11	212.01	9.51	23.22	35.86	97.29	60.3	17.3	21.12	19.35	12.81	32.16	14.81	28.8	25.41
SMTN	12.83	17.21	211.95	23.3	48.8	96.6	20.87	9.36	41.05	36.37	32.02	15.72	59.79	19.11	25.82	28.32
PPM1K	25.36	23.22	41.11	32.21	48.68	99.05	28.88	21.2	12.79	15.02	17.33	9.31	35.98	210.08	60.27	19.24
RP11-513M16.8	40.49	61.37	211.77	21.04	46.65	9.02	96.23	28.71	25.56	36	23.2	15.15	19.41	34.72	9.02	17.24
RP11-140K17.3	12.79	25.31	98.75	9.31	16.58	209.76	21.2	16.27	36.34	32.16	60.31	18.74	28.88	23.1	48.42	41.01
SPATA21	27.92	42.23	26.28	19.35	12.9	66.4	35.56	22.73	21.49	32.65	48.31	15.26	207.52	92.04	9.02	17.33
MANSC1	41.56	25.46	94.08	17.31	35.37	19.51	23.32	30.21	15.08	20.86	31.51	12.83	212	49.42	61.74	9.31
NIPSNAP3B	19.29	21.26	32.87	41.45	97.29	9.02	25.34	9.02	23.2	28.92	35.18	17.36	212.01	60.3	48.17	15.02
RP5-1103G7.10	41.26	17.47	99.37	34.44	14.91	9.02	19.19	13.04	28.8	21.4	49.02	24.05	62.47	33.72	199.32	24.77
TMEM8B	12.83	23.19	40.16	9.31	20.17	48.68	14.99	32.82	25.36	36.3	20.23	17.39	97.28	212.01	60.04	28.88
C6orf132	41.22	9.47	13.02	28.77	19.69	205.89	61.18	23.49	21.06	24.99	33.38	17.54	34.65	48.88	98.04	14.96
AK1	93.3	41.43	211.96	19.27	35.85	63.37	48.64	29.16	15.2	17.08	21.22	12.85	32.24	23.47	9.02	25.19
CDC42SE1	22.6	47.55	61.43	12.79	25	209.7	22.92	19.35	15.05	17.27	42.25	32.33	98.25	9.31	28	35.84
HYI	17.59	35.42	61.18	13.06	31.28	211.51	18.98	30.19	14.73	23.17	25.47	9.31	48.72	96.23	41.17	21.25
LAIR2	60.31	48.68	211.99	17.33	28.8	9.02	97.29	41.1	19.32	25.41	32.16	21.76	22.59	15	12.68	36.05
PTPN14	36.36	59.57	25.3	23.04	48.95	206.32	29.21	31.7	9.37	18.88	21.56	14.6	98.86	42	13.22	17.69
ADAM17	17.33	19.24	89.96	14.72	25.46	211.7	9.47	12.92	41.33	36	67.62	23.03	48.45	21.39	32.12	28.82
IGLV4-69	29.07	23.16	9.02	60.78	96.81	208.75	25.41	9.02	21.2	41.54	35.86	19.29	17.2	32.22	9.02	48.12
IFNLR1	28.93	25.41	60.76	36.12	48.68	204.99	19.12	15.59	12.86	17.3	23.01	21.12	41.02	102.25	31.65	9.02
MT-ATP8	16.28	21.2	75.76	18.95	25.34	211.54	12.7	9.41	37.34	29.01	80.72	23.24	46.8	16.29	42.63	32.07
COQ4	21.23	19.25	97.28	12.79	32.16	211.77	25.19	15.17	17.18	28.88	41.31	9.31	36.04	48.48	60.25	23.36
TTYH1	41.73	22.07	24.74	26.99	60.9	97.07	36.17	48.72	17.39	24.51	19.59	12.93	209.53	32.21	9.02	15.03
TAZ	35.48	25.31	97.28	16.63	48.68	211.19	19.29	9.31	21.65	41.05	60.31	12.79	29.37	15.69	23.5	31.55
TLCD2	20.63	17.69	41.83	12.83	15.24	9.02	19.4	23.81	95.05	47.8	62.55	24.96	211.99	32.13	28.45	36.13
GMPR	17.26	12.79	49.04	15.53	9.31	41.53	18.81	25.59	23.22	28.74	62.68	21.18	206.17	32.27	36.06	99.49
AC078883.3	17.09	12.83	60.27	33.35	41.11	145.16	48.68	34.5	15.3	22.58	25.41	9.37	21.71	19.47	28.46	150.45
ARL10	19.93	29.12	49.25	23.19	91.77	32.24	25.03	35.47	14.51	17.33	21.04	9.82	207.7	41	69.06	12.92
MIIP	19.27	17.25	47.77	9.31	23.22	97.13	14.86	13.01	28.88	32.16	60.18	21.2	36.04	42.15	211.97	25.36
OSGEPL1-AS1	22.8	32.2	211.76	36.56	28.64	9.02	41.99	25.56	17.3	19.27	22.35	15.02	46.77	60.8	9.02	96.21
SLC26A8	25.12	21.04	15.85	16.04	35.95	9.02	18.14	14.98	102.23	60.16	47.41	29.07	206.95	23.07	41.99	32.15
TTC33	32.5	16.91	211.98	15.47	27.63	96.89	60.31	21.35	23.07	19.29	39.98	9.31	38.89	26.9	44.22	12.79
CEP89	22.27	19.11	211.98	13.27	25.45	95.76	14.71	17.39	28.52	32.16	49.21	9.31	60.51	40.9	36.47	22.33
CD47	25.23	21.2	100.88	12.86	28.83	208.07	36.05	23.39	14.96	17.86	48.68	9.31	41.11	32.16	60.27	18.71
FAM120B	19.3	17.3	210	11.35	25.77	40.88	22.87	10.71	31.84	36.27	64.19	15.02	49.14	21.61	94.08	29.11
FAM153A	25.91	212.02	9.02	29.4	31.96	59.62	20.71	15.18	12.9	17.29	40.54	19.8	48.46	23.36	36.43	96.27
R3HCC1L	21.23	19.24	211.96	12.79	31.91	60.56	25.25	17.14	23.67	36.21	49.02	9.31	95.14	15.21	40.6	29.26
LINC00672	41.46	31.85	98.99	16.64	29.18	209.05	60.31	13.36	23.04	21.5	36.61	9.42	47.77	25.09	19.03	15.31
RP11-656D10.3	49.85	21.05	211.86	9.37	47.34	95.03	28.99	15.89	18.06	19.69	24.29	13.03	36.61	33.01	22.71	51.71
KMT5A	18.05	23.22	97.28	9.31	25.65	211.23	21.15	28.69	36.05	32.1	48.68	12.94	60.3	18.28	15.12	41.05
PGBD1	32.33	22.93	206.9	9.02	20.76	37.2	25.34	50.06	28.83	17.41	20.04	15.23	101.56	58.21	38.84	9.02
LINC01235	19.86	20.47	44.46	29.09	31.97	9.02	23.22	37	12.79	17.59	26.07	15.02	211.98	97.28	59.06	44.35
TMEM106B	34.5	41.21	100.51	24.99	33.61	208.31	28.96	48.89	17.32	23.03	59.99	15.02	19.24	12.79	9.25	21.77
CKAP2	17.3	19.29	97.28	23.04	32.16	211.27	12.18	15	21.36	28.88	36.42	9.95	60.3	48.33	41.02	25.36
PLD4	12.79	21.23	32.12	23.34	35.98	48.58	17.27	41.11	9.31	19.27	28.97	15.06	60.3	212.01	97.22	25.22
CRTC1	15.23	17.26	62.95	12.17	28.88	99.02	19.34	21.06	36.23	32.33	25.45	10.05	49.25	41.43	204.21	23.27
RP11-196G18.24	23.22	17.77	20.93	18.98	37.91	205.89	25.38	15.09	31.75	41.59	29.6	12.93	96.68	61.91	9.02	47.46
PINK1-AS	15.06	19.58	32.4	12.79	59.49	209.88	25.33	28.75	17.57	23.18	42.33	9.52	93	21.63	36.89	49.94
RP11-66N11.8	20.84	29.16	98.76	9.31	15.05	208.96	24.98	31.78	23.68	36.57	19.61	12.79	48.67	40.58	60.19	17.3
SMARCA5	23.22	15.02	97.28	12.79	28.84	211.56	17.35	32.15	20.07	25.4	36.05	9.31	48.68	41.11	60.27	20.36
GOLGA8R	23.22	17.47	32.28	29.02	35.7	9.02	212.02	96.83	15.05	20.76	25.41	9.02	41.2	48.58	60.5	19.51
PIP4K2A	41.11	25.31	212	12.79	23.15	95.56	58.35	36.23	15.02	17.67	29.27	9.31	52.02	21.32	31.73	18.9
AC021188.4	212.01	41.32	95	23.25	32.23	48.38	61.89	35.95	21.15	17.14	19.36	13.07	25.42	28.85	9.02	15.22
FGFBP2	60.31	36.1	97.29	12.89	32.16	48.58	212.02	41.06	21.2	23.26	28.88	17.17	19.26	9.36	14.96	25.31
KDM4A-AS1	31.23	61.62	211.86	22.71	94.43	9.02	19.36	29.45	15.3	17.16	36.17	12.83	49.23	25.9	41.31	21.77
CHST6	19.11	27.82	47.83	9.31	27	205.94	23.29	35.88	17.54	21.48	76.11	12.79	84.98	32.01	41.42	15.05
AF127936.9	15.05	17.35	12.87	9.02	19.81	53.69	23.3	40.8	36.03	25.72	28.56	20.6	205.32	32.8	103.59	49.62
MMRN1	28.78	25.4	48.65	32.26	9.02	9.02	23.22	60.29	9.02	21.23	19.13	9.02	41.1	97.29	211.7	35.94
FAXDC2	20.07	28.13	209.29	12.86	16.87	63.49	21.16	15.36	22.52	28.68	36.8	29.89	47.98	9.52	92.13	42.13
BAHD1	28.93	21.24	211.95	10.99	25.25	56.98	32.23	15.3	91.78	36.06	55.5	23.36	17.03	11.24	19.12	41.22
TCL1B	15.37	32.18	23.14	102.24	40.59	59.48	21.05	9.02	19.21	13	17.44	28.61	48.83	207.02	36.16	25.43
EIF2B5-AS1	41.27	59.45	97.25	22.94	19.1	48.46	32.51	21.51	9.42	15.31	17.38	13.13	211.95	35.84	27.22	25.5
CBX6	21.34	19.09	60.51	9.31	15.06	211.76	24.92	17.44	28.83	32.16	36.05	12.79	96.76	41.92	48.12	23.57
SAMD12	25.41	48.56	41.12	31.67	66.33	210.42	22.92	29.28	19.49	17.26	21.26	12.79	91.06	36.27	9.02	15.08
CRIP3	9.63	17.04	15.18	35.89	60.3	96.61	12.69	21.34	19.44	48.68	29.29	22.99	212	32.33	25.21	40.42
CPT1B	17.66	23.16	79.02	28.82	15	205.9	19.14	12.88	42.13	25.9	32.94	35.7	62.35	21.14	9.02	65.42
MYH3	20.93	45.53	43.25	17.47	92.26	36.47	24.55	24.12	9.68	15.19	29.04	12.54	67.06	32.43	207.72	19.73
EIF3J	19.46	15.02	97.29	12.79	18.02	211.85	25	28.92	21.11	32.16	36.05	9.31	48.83	41.06	60.11	22.77
TSC1	23.34	19.36	211.95	10.38	30.79	95.04	25.34	17.67	36.43	30.51	48.74	11.73	20.73	15.05	41.65	60.34
RP11-87C12.2	31.18	35.88	97.24	12.89	19.07	9.02	17.2	21.81	22.96	41.11	48.83	15.44	211.99	60.14	29.53	25.2
ADAM8	35.95	21.32	98.85	14.72	23.1	208.52	60.81	41.11	32.26	28.07	19.27	17.3	48.85	9.31	13.06	26.17
TRAPPC2	41.11	23.25	210.28	17.3	28.32	98.73	48.68	32.82	12.82	19.27	21.2	9.31	35.2	26.06	60.21	15
ATP10A	27.31	27.14	211.94	12.7	9.41	53.89	42.09	53.44	17.33	21.23	19.3	15.02	36.43	96.69	32	23.28
DNM1	19.38	42.74	37.17	25.65	46.26	9.02	17.41	29.22	15.02	23.47	31.48	21.03	60.19	105.18	9.02	203.1
ADGRL1	59.8	29.13	203.35	12.79	38.09	9.02	39.15	32.36	15.08	17.25	19.57	21.75	105.86	25.45	48.32	22.36
GINS3	23	19.62	211.93	21.46	15.14	96.77	28.23	27.06	17.15	30.84	35.84	12.83	59.33	41.33	49.29	9.31
DDA1	21.18	15.02	97.28	9.31	17.3	211.35	23.22	19.29	25.78	32.12	60.31	12.79	41.08	36.27	48.44	28.5
AC006129.2	23.22	40.6	61.35	28.35	32.16	211.83	25.89	48.43	9.31	15.02	17.3	12.79	96.08	36.94	21.17	19.27
ECHDC2	34.83	46.93	211.98	23.16	28.93	95.18	33.71	25.41	12.79	15.02	21.12	9.31	61.9	17.41	42.36	19.3
PDLIM3	23.55	36.12	17.61	28.2	32.07	207.55	25.3	59.63	9.31	15.12	21.59	12.79	98.87	49.66	41.33	18.99
NBEA	17.24	19.34	9.02	36.14	40.56	210.45	23.24	12.77	25.82	28.4	21.13	15.06	60.09	49.54	96.09	32.61
PABPC3	12.82	28.73	97.54	21.23	39.16	23.63	9.31	15.11	17.24	32.67	49.49	19.38	210.38	25	60.01	38.01
RP11-286E11.1	25.51	17.33	96.33	40.68	48.56	9.02	21.2	9.02	23.26	32.13	60.81	29.13	211.95	36.52	9.02	19.11
MAFF	32.18	21.26	63.84	12.79	23.19	207.46	41.99	95.64	17.39	25.27	28.95	9.31	48.02	15.11	36.15	19.14
RP11-219G17.4	19.41	49.95	17.16	91.58	36.13	9.02	24.97	15.05	28.78	23.24	32.23	21.57	211.95	64.56	9.02	41.1
CBLB	42.85	29.09	211.99	17.61	34.88	93.54	59.3	51	12.79	15.02	21.23	9.31	23.18	25.45	32.95	18.96
SH2D1B	35.95	25.51	59.98	9.31	23.22	41.3	111.3	198	15	19.72	48.6	12.82	32.21	20.62	28.69	17.32
TBC1D10C	41.11	29.07	212.02	21.23	49.32	97.14	59.67	31.87	12.79	15.05	36.05	9.31	25.45	18.06	23.16	18.48
PHLPP2	25.67	23.25	51.96	20.79	36.04	14.82	19.74	9.36	17.35	28.62	58.75	12.83	41.75	96.82	209.01	31.96
ZNF333	21.11	23.17	210.46	12.85	31.78	18.14	25.4	17.68	29.22	36.11	60.83	15.07	48.35	9.37	98.14	41.37
AGAP5	21.16	9.02	41.08	32.16	28.92	77.8	212.02	49.2	9.02	17.36	23.13	9.02	25.36	36.12	61.25	19.22
ESRRG	58.35	102.23	206.07	28.77	25.32	50.59	36.25	9.02	21.41	17.3	32.21	19.32	15.08	23.28	9.02	41.19
PDE4C	26.73	29.03	98.54	23.36	59.96	9.02	21.28	19.74	15.06	17.39	32.53	12.83	210.16	40.13	48.57	34.8
ZNF442	19.41	32.45	23.32	51.34	212	9.02	96.82	26.88	17.36	40.99	21.15	15.12	57.58	35.61	9.02	27.34
IGFBP3	48.59	35.98	41.11	15	28.42	31.72	25.92	23.08	9.82	17.33	19.46	12.5	62.52	212.01	94.83	21.15
ITGB2-AS1	22.9	28.63	210.38	12.79	25.72	59.8	15.02	17.39	32.04	41.11	98.88	19.53	48.99	9.31	21.14	36.05
KIR2DL1	48.02	17.36	96.71	14.94	25.69	9.02	212.02	60.8	32.01	35.63	23.69	21.21	41.4	19.28	9.02	28.9
POR	17.44	15.02	60.06	9.31	21.01	28.65	25.35	23.48	49.25	36.05	41.23	12.79	100.02	19.32	208.51	32.01
NUPR1	19.77	59.81	9.02	17.33	24.58	9.02	30.62	23.8	30.3	97.29	36.58	48.67	211.95	41.02	9.02	21.02
