Mixture	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK	P-value	Correlation	RMSE	Absolute score (sig.score)
qns31079_144	0.846763266393496	0	0.927323359861721	0	0.520295589739627	0.831418085384073	0.59588044263455	0.444777613927287	4.02274347836535	1.25031293894329	1.91090676043939	0	0.325935806945166	0.445745692449919	0.744701156115428	0.816989861703459	0.0106382978723404	0.150017085533345	0.988924370285811	13.6837940529028
qns31079_145	0.830448254731518	0	0.951292807415577	0	0.563164993240531	0.971598717728881	0.774062763925617	0.463683767791901	3.86733640397481	1.06697038267195	2.25801899696543	0	0.450875874301696	0.474366146668462	0.823200367395561	0.753556608752013	0	0.172951021363465	0.984729115277423	14.2485760855639
qns31079_146	1.09751295451745	0	1.08367752304044	0.16765784966999	0.60690645134107	1.15746368259451	0.702967295246132	0.275836912133402	4.0124690928649	0.980138877201067	1.72549693106311	0	0.27838347615153	0.440829630320164	0.80110398521913	0.971572969215412	0.0106382978723404	0.14230591021665	0.989856862209606	14.3020176305783
qns31079_147	1.78429167997782	0	1.32569308962246	0.0379235660138395	1.20804794818494	1.23857976765614	0.947729535297994	0.708923975908099	3.2955872770185	2.02701434348025	2.31333698563276	0	0.489057240567007	0.916080378129062	1.09932348042788	0.975363971268063	0.0106382978723404	0.124065621022588	0.992035372982	18.3669532391848
qns31079_148	0.966082494541472	0.249643896191105	0.925267398148664	0.137004406089173	0.596976070881688	0.889218366098494	0.603674210389665	0.449332958983447	2.87252949790528	0.979880039623784	1.42708563577415	0	0.429528674780266	0.508401563305647	0.760390332063765	0.667518904801033	0	0.165629975796498	0.986802197151287	12.4625344495776
qns31079_149	1.57090906267689	0.949375353394399	1.3964695470932	1.50708961563777	1.28676177529825	1.38805046936358	1.37696967732566	1.26418523996701	2.90169098423014	1.30359511386931	1.69365977500674	0	0.915614498315683	1.18610226265027	1.33750531285176	1.3987422272195	0.0531914893617021	0.0832616170055655	0.996672426081287	21.4767209149002
qns31079_150	1.02154469300208	0.248067333784332	1.09771375942927	0.696415826921308	0.752982454928516	1.12748763132851	0.772274958298569	0.516088178083526	2.34057610806558	2.45969442685979	1.55584815636	0	0.444589357074731	0.613046741361348	0.927357534923558	0.751483265906756	0.0106382978723404	0.161045391499094	0.987723330021683	15.3251704263279
qns31079_151	1.2040547486475	0.139324789263798	1.02175417769049	0.53891204979024	0.70237394345856	1.05788279179659	0.719676899548507	0.486814197435229	4.37278110721082	0.84724212006048	1.85759044497196	0	0.439470110888645	0.547735974880597	0.899712530394811	0.882196728201659	0.0106382978723404	0.135643694094037	0.990724247538826	15.7175226142399
qns31079_152	1.82791377440386	0	1.40520697706961	0.349883214439966	0.782743987753763	1.13163485225013	0.848451432749887	0.399022516845915	2.69511050492407	1.59258375977764	2.03167473820657	0	0.530944751676531	0.635545931561594	0.976942991016876	1.24675341699027	0.0106382978723404	0.128101221177399	0.991769743149769	16.4544128496667
qns31079_177	1.36428690981469	0	1.33968202870625	0.908814604545439	0.906126624171392	1.2520919740481	0.836404432200786	0.47518876605657	3.32774157674095	0.993197407433892	1.67401031997153	0	0.776514707645991	0.869334349507394	1.09118029672929	1.1946018151495	0.0106382978723404	0.115069989192868	0.993687826683074	17.0091758127218
qns31079_178	1.68602631719943	0	1.14656534201476	0.392019644037483	0.836523037221566	1.06871313462393	1.06162604175448	0.571326808892187	3.88000571413655	1.65000192170202	1.67798267847471	0	0.399809130712944	0.63281222265392	0.926126365857446	0.622814685363702	0.0106382978723404	0.148545062942629	0.989042553335764	16.5523530446451
qns31079_179	2.02873248457931	0.706730917080252	1.90421942541095	2.10776724297712	1.80357741260706	1.96626125962717	1.79975562142508	1.44608238463066	3.96717925095715	1.81220404152444	2.10655643629611	0.3012035131234	1.40158245048481	1.79417825979243	1.76243032981507	1.81398517494595	0.074468085106383	0.072625348035686	0.997283052756015	28.722446205277
qns31079_180	1.03400540650354	0.0702832514672986	0.902865635313985	0	0.449957914306037	0.808417583717896	0.463568116330518	0.297771571402238	4.27197315343481	1.07184032504085	1.25406769369056	0	0.328354720217508	0.311818886924651	0.708855661527918	0.723203225865874	0	0.173095228376898	0.985210228926477	12.6969831457437
qns31079_181	1.66606619964611	0	1.35583809119363	0.804823774613958	0.638376091988088	1.28114382677734	0.59594565457711	0.363967498744467	3.1275371933934	1.30018600078769	1.62034428315746	0	0.323815614421267	0.486552289046129	0.868511186588159	1.24647848909576	0.0106382978723404	0.118610123565042	0.99312826406252	15.6795861940306
qns31079_182	1.44573667922253	0.238646802475477	1.21967603290313	0.918562758206929	1.00402208432608	1.2514202649082	0.872991773077525	0.775098510233979	3.30061039190254	1.30859469721566	1.55405885025067	0	0.666663962787843	0.848780572556497	1.07117939288121	0.924062986542277	0.0319148936170213	0.0926849132717964	0.995426211232916	17.4001057594905
qns31079_184	0.617019483473939	0.141329661927748	0.657401628410181	0.0809454648094457	0.426605846428017	0.646853195674472	0.541937972372891	0.391087451144865	1.94858574418036	0.861507462993724	1.0936629110416	0	0.296600258026677	0.372558377374889	0.556163287487039	0.720415526108221	0.0106382978723404	0.142047258784155	0.989748789893874	9.35267427145407
qns31079_185	1.11832583407272	0	0.890612797873486	0.315288847317275	0.603951004125825	0.94866164342136	0.576549227076302	0.361232305134792	3.94185088157036	1.31342704603467	1.54829539242829	0	0.221602313988408	0.395598689385019	0.737599839694804	0.994344840307356	0.0106382978723404	0.13991966276977	0.9909422211967	13.9673406624307
qns31079_186	1.44320834204341	0	1.2873145927428	0.284867785600489	1.1278019521978	1.31763552442234	1.07004616822283	0.764685116594625	3.29881599605747	1.9651867107057	1.27085766673802	0	0.792175503564069	0.926410845253099	1.10247520295432	1.15475517740768	0.0319148936170213	0.088615539608181	0.996113209157567	17.8062365845046
qns31079_187	1.60639125635023	0.2322344555204	1.23187283082084	1.03702010096525	1.05746281482676	1.24891395860638	1.02647936369832	0.889738185461514	2.9459211749803	1.41681433418049	1.75777414099294	0	0.719504719806135	0.929092576066678	1.06718641039337	1.17002200010161	0.0212765957446809	0.0946306217488369	0.995306664643399	18.3364283227712
